"error_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"unhealthy_but_wrong_status","BC","34f0ad0d-3452-4282-b4a5-d9ac7d846f3c","1317","132028","1","fram","17","6.7","613","DS","1.3","PD","False","4",NA,NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,VB,AS,DE",12,NA
"unhealthy_but_wrong_status","BC","5d2044e1-404d-49ef-b046-7312a786b449","1318","132061","1","fram","17.8","16.9","554","DS","1.3","PD","False","4",NA,NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","SS,DE,W,VB",5,NA
"unhealthy_but_wrong_status","BC","9a7cb7e0-c50e-4a6f-9dcb-73a105ce126c","1325","132285","1","fram","0.5","1.8","94","DS","1.3","PD","False","1",NA,NA,30,0,NA,"0","I",NA,NA,NA,NA,"5","0","W",NA,"S"
"unhealthy_but_wrong_status","BC","e46aea5c-cf65-4461-9546-88b2f16633f2","1329","132525","1","fram","20","1.2","531","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP","3",NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","ad302ace-6094-4f61-afa9-3aae3236d71c","1330","132530","1","quve","10.1","2.4","699","PD","1.3","PD","False","3",NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","60880f7d-ef2f-48d5-b8cd-c8471ee5ada1","1401","140038","1","juni","19.3","4","103","DS","1.2","PD","False","2",NA,NA,0,0,NA,"0","R,DF",NA,NA,"1",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","3857db82-d80c-44ed-8002-e6cdc275e0d8","1403","140456","1","fram","9.3","17.4","217","AU","1.3","PD","False","1",NA,NA,0,0,NA,"0","B,I","3",NA,"1",NA,"5","0","W,DE",1,NA
"unhealthy_but_wrong_status","JJ","6b16fefb-0e3b-4bef-bed0-9a0f17711474","1418","142174","1","prav","0.7","16.5","125","AU","1.3","A","False","1",NA,NA,100,100,NA,"0","U","2",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","dcb3b010-2bf0-42c0-983b-5543251e7353","1421","142490","1","quru","6","7.2","482","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","DF",NA,NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","e350d0ee-70af-4fea-87bb-aba4b6455f0d","1424","142552","1","qual","7","11.7","188","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0","R",NA,NA,"2",NA,NA,NA,NA,NA,NA
