ObjectID,quadrat,tag,StemTag,sp,dbh_2023,hom,lx,ly,status_2025,fad_2025,comment_2025,status_2026,mort_census_status,fad_choices,fad_2026,lean_angle,liana_load,dead_with_resprout,crown_intact,crown_living,crown_check,comment_mortality_2026,GlobalID,ParentGlobalID,BLD
35,0319,32086,2,caca,103,1.3,3.3,16.6,A,,,,not started,,,1,0,0,,,,,4bfab5d3-b268-42d8-b408-be46948c6f98,be1ccc2b-12e8-42e6-b2a1-11cb7abff93e,0
36,0320,32116,2,tiam,140,1.3,6.4,12.2,A,,,,not started,,,1,0,0,,,,,70eec0c6-dabe-40d8-8335-a7b476ebd5e3,6eac5de6-ff4a-4302-a6c6-3770dfaeecb8,0
37,0322,32180,2,tiam,192,1.3,6.4,12.3,A,,,,not started,,,1,0,0,,,,,63c74e7f-449a-490f-8936-b163cd3a28b2,cf746034-b92f-4922-a89d-842fe9b9352d,0
38,0327,32366,2,litu,372,2.3,10.5,4.20000000000005,A,,,,not started,,,1,0,0,,,,,dd976d64-d203-4ace-90c2-7c3f5a3321c0,5362d9ac-8fad-4a26-9621-b79b8a2b920d,0
39,0327,32366,4,litu,532,1.3,10.5,4.20000000000005,A,,,,not started,,,1,0,0,,,,,1541d32a-d73d-431f-a19b-be1be402a82d,5362d9ac-8fad-4a26-9621-b79b8a2b920d,0
40,0329,32417,2,litu,663,1.3,7.1,7.29999999999995,A,,,,not started,,,1,0,0,,,,,2171d9cd-2c82-46a2-b640-3232f8a4dea4,3ea94b87-ee19-4498-a634-0a1382e35633,0
41,0401,40024,2,juni,266,1.3,6.90000000000001,12.6,A,,,,not started,,,1,0,0,,,,,bdda448a-cadd-48bb-95c3-2c40125e7555,9aa3c1c4-5df5-437d-a4de-3e422fa276fb,0
42,0401,40028,2,ploc,412,1.3,9.5,6.3,AU,K,,,not started,,,1,0,0,,,,,b2c694ca-2da4-4efc-9246-f3d7c6e6d5d5,3257ca4a-8321-43a5-b4ea-b63ada71b504,0
43,0401,40028,3,ploc,396,1.3,9.5,6.3,AU,K,,,not started,,,1,0,0,,,,,0b569bfd-499d-4e02-b37a-810b821093eb,3257ca4a-8321-43a5-b4ea-b63ada71b504,0
44,0409,40664,2,caco,392,2.3,19.4,18,A,,,LI,finished,,,1,0,0,5,5,,,e4d3fc0e-a803-4845-a7f4-8379825e6a1b,1f37d0bd-6d1c-4643-8cc7-859fc4d6b3a0,0
45,0412,40873,2,fagr,181,1.3,,,A,,,LI,finished,,,1,0,0,5,5,,,36353cfb-e181-4f9a-8194-42200ed3ffad,a00ea5c4-c583-48f6-94c8-2b780ff04b90,1
46,0413,40925,2,tiam,183,1.4,4.59999999999999,7.80000000000001,A,,,LI,finished,,,1,0,0,5,5,,,951990b7-4626-43ad-8655-98b61cf515c6,1084d674-2d35-4865-8578-e3877d55302e,0
47,0413,40925,3,tiam,295,1.3,4.59999999999999,7.80000000000001,A,,"W, R",LI,finished,,,1,0,0,5,5,,,11663607-bcc0-4b02-a6af-3560e0fa2e14,1084d674-2d35-4865-8578-e3877d55302e,0
48,0413,40925,4,tiam,311,1.3,4.59999999999999,7.80000000000001,A,,,LI,finished,,,1,0,0,5,5,,,d8b99a8a-24c3-49e6-9455-bb8cd333a10f,1084d674-2d35-4865-8578-e3877d55302e,0
49,0415,40969,2,tiam,323,1.3,4.59999999999999,6.60000000000002,DS,,,DC,finished,,,1,0,0,,,,,b790e61e-2a9f-4fba-b045-a89986413018,e4711945-fe0c-4098-accf-2c2d450dc123,0
50,0415,40972,2,litu,721,1.3,7.2,9.60000000000002,AU,"DF,W",,LI,finished,,,1,0,0,5,5,,,77a9c6ad-2b74-4ddb-bcee-14da5090104e,dd4dcf0b-24b4-4a35-897d-4c21e1bc85db,0
51,0415,40978,2,caca,129,1.3,,,AU,"R,W",,LI,finished,,,1,0,0,5,5,,,fc45e1ef-00b5-4bc0-a5ad-685ff93ef22e,455515aa-df59-425f-8089-030e085fd3f5,0
52,0417,42020,2,ploc,422,1.3,18.3,19.2,A,,,,not started,,,1,0,0,,,,,0f935ab0-5e3c-4e78-8664-e80fc6465c6e,27baca45-c1d1-4f34-9698-9cba8ee3867c,0
53,0431,42567,2,caovl,218,1.3,17.1,17.5,A,,,,not started,,,1,0,0,,,,,55027bde-eb46-4393-9e31-3ed65720344d,3dd55e12-782a-4710-9213-bcbede6795e1,0
54,0501,50019,2,ploc,113,1.3,1.3,7.1,A,,,,not started,,,1,0,0,,,,,84ee2a59-34a2-407e-9af1-e8b90968d8ce,001e057f-b9d0-4735-8023-710e8775617e,0
55,0503,50169,2,caca,101,1.4,2.59999999999999,5.2,A,,,,not started,,,1,0,0,,,,,dd5db515-9dd8-4847-b4b9-1e502fb6765e,afd37519-2072-47af-97b0-e69c45d10c43,0
56,0503,50217,2,qupr,306,1.3,10.3,1.5,DS,,,,not started,,,1,0,0,,,,,01ca8b20-cdee-4fa3-a363-dce6920d9cc6,19a41100-8abb-452f-8895-243bc20acad7,0
57,0503,50231,2,nysy,143,1.3,18.6,7.1,A,,Huge wounds along stem,LI,finished,,,1,0,0,5,5,,,5c40b13a-e0e8-4e4d-84cc-3750edaf61ca,eca288ec-6387-4239-abf3-65a1ff6f65b6,0
58,0509,50469,2,caco,446,1.3,9.40000000000001,15.5,A,,Massive cankers,LI,finished,,,1,0,0,5,5,,,cbb041dd-632c-4d46-98e0-480f5fd4ced9,f62aaa78-6fb2-40be-92a8-5753b940855c,0
59,0509,50469,3,caco,406,1.3,9.40000000000001,15.5,A,,Massive cankers,LI,finished,B,"K,B",1,0,0,4,4,,,fc831064-92e6-4089-bf37-224ac5a314f6,f62aaa78-6fb2-40be-92a8-5753b940855c,0
60,0509,50474,2,litu,350,1.3,14.5,18,A,,,,not started,,,1,0,0,,,,,7e4f3105-54f4-48c2-9ad2-d265f1f22917,0b9ca6da-1d6d-4837-96b8-53bad1753c9c,0
61,0510,50484,2,quru,449,1.3,8.3,14.7,AU,R,,LI,finished,,,1,0,0,5,5,,,0ce239b9-2761-497e-bfa6-48a15072b16b,c2159a1a-fd76-4730-8116-3f53f493e340,0
62,0511,50515,2,caca,102,1.3,0,9.30000000000001,AU,R,,LI,not started,F,F,1,0,0,4,4,,,220667cf-9368-4fc8-b8b4-6a4320789c6e,e4b30750-65d2-4684-8f00-9c281196a6b3,0
63,0513,50555,2,litu,316,1.3,8.59999999999999,15.8,AU,W,,LI,finished,W,"D,W",1,0,0,5,1,,,b6bee47d-0c75-42e8-82aa-03ed070f07cd,7da63b45-f087-4622-b7ef-1cbec69e609b,0
64,0515,50571,2,caca,105,1.3,10.8,6.30000000000001,A,,,LI,finished,,,1,0,0,5,5,,Visible wound,4854cedf-9580-470c-9804-390fe2dcd848,0a3fef0f-bd01-4de3-80e1-602755340633,0
65,0515,50658,5,caca,105,1.3,15.1,3.89999999999998,A,,,LI,finished,D,D,1,0,0,5,4,,,3ac6c28a-bdb0-4e74-b9fb-17be58acdff3,fb7b6f33-9517-4e93-ad2f-b2d372fdc22e,0
66,0516,50675,2,caca,101,1.3,7.2,7.39999999999998,A,,,LI,finished,U,U,1,1,0,5,4,,,5fa85d9c-8128-4661-8566-8b552456e398,6eed805c-4d1d-4d43-a27e-25ac42371b38,0
67,0525,52270,2,caovl,178,1.3,11.8,5.5,A,,,,not started,,,1,0,0,,,,,f9c1f342-dd25-4223-a691-50cc3db520b1,5ee6d49b-a774-4e9b-b417-ea228e7c39f6,0
68,0601,60015,2,qual,190,1.3,10.4,9.2,A,,,,not started,,,1,0,0,,,,,e4c80bde-1c37-402d-9e64-c3659e07ce32,e84f32ed-a1a8-4492-af2b-787760e8fd0b,0
69,0603,60040,2,cato,346,1.3,14.3,3.7,A,,Large wound/rot from split of primary stem,DS,finished,U,U,1,0,0,1,,,,85f04263-b4de-40ff-a0e3-2ff06edc0ca0,4994553b-83de-4c77-88a9-77e05f538c8b,0
70,0608,60348,2,qupr,543,1.3,4.2,7.40000000000001,A,,,LI,finished,,,1,0,0,5,5,,,3d4ac7b6-85cd-4af6-85f7-1c931484efc4,d2e1ccde-12ed-4603-853f-7dd88dc6d43f,0
71,0617,62050,2,cato,160,1.3,7.40000000000001,19.7,A,,,LI,finished,,,1,0,0,5,5,,,41606a97-7aee-4017-b840-6c6ef81c05d9,cbd35463-c07b-41e6-ba75-ba0804ac3a89,0
72,0703,70061,2,cato,121,1.3,0.700000000000003,6,AU,K,,LI,finished,,,1,0,0,5,5,,,1187505e-b96a-4980-b7ad-b9bfe0bad93d,f6628f37-dfab-4e0a-80a6-f3c2e9843d14,0
73,0712,70472,5,fagr,155,1.3,1.59999999999999,7.5,A,,,LI,finished,,,1,0,0,5,5,,,697ada1b-4476-447d-842f-f3db49a5f4ec,3e75d76a-2ebf-4ebe-856e-19334ce9e57c,1
74,0715,70499,2,litu,450,1.6,6.59999999999999,2.69999999999999,A,,,LI,finished,,,1,0,0,5,5,,,23d1e4a9-be12-4c7c-a01f-ebf25190037b,c5fb89dd-a4bc-4d26-bcc8-4bdf7eeff1b6,0
75,0717,72041,2,cato,119,1.3,14.3,18,A,,,,not started,,,1,0,0,,,,,390acf23-db73-4e58-8079-50a171c1e86f,5d1c3bda-077f-45cd-957c-ac8f294195d6,0
76,0723,72256,2,litu,205,1.3,14.1,17,A,,,,not started,,,1,0,0,,,,,fac0f422-a8ff-4063-b218-9d37ece140fa,f8f28ba7-e861-44b8-ad0b-1f242a251d25,0
77,0805,80221,2,acru,110,1.3,3.5,12.2,AU,"F,B",,LI,finished,B,B,1,0,0,1,1,,,594a2412-c0e4-4141-bda8-0364b5c0543a,d19ed052-5c90-4aee-972e-b7d550a75eaf,0
78,0820,82139,2,acru,117,1.3,16.8,2.69999999999999,A,,,,not started,,,1,0,0,,,,,6e6f52cd-7884-409e-936c-e7b557cad318,087a17b2-b77e-4278-9c05-3728882f3c9c,0
79,0825,82263,2,cagl,358,1.4,4.90000000000001,2.39999999999998,A,,,,not started,,,1,0,0,,,,,5d67b640-8cd1-4fd0-b355-4cd6152846f5,717b9fd4-8de3-4851-9024-4520a35dd0b1,0
80,0828,82357,2,litu,247,1.3,4,13.8,A,,,,not started,,,1,0,0,,,,,bd3205e8-807f-41fd-8eaa-1d62f881966e,451ac4d1-16ec-409d-922b-9541e036696c,0
81,0829,82368,2,litu,304,1.3,16.8,3.39999999999998,AU,"DF,K",,,not started,,,1,0,0,,,,,5657bf37-01fe-4c70-b30a-f8bbc93795aa,6ff5c5f7-756b-412d-937f-663b2053f489,0
82,0904,90413,2,litu,578,2.3,11.7,17.2,A,,,LI,finished,,,1,0,0,5,5,,,693efdf4-d923-4bca-a63c-14593387feb6,8b31b419-ba88-4bfe-8a48-e94a3f947070,0
83,0904,90413,3,litu,276,1.3,11.7,17.2,A,,,LI,finished,,,1,0,0,5,5,,,95b98843-d854-49fa-9b23-279e3006a02b,8b31b419-ba88-4bfe-8a48-e94a3f947070,0
84,0910,90517,2,litu,306,1.3,17.8,2.80000000000001,A,,,LI,finished,,,1,0,0,5,5,,,d8963706-48d6-4099-bfdd-9c5caea24591,790ca97a-7f37-4153-b8f4-963e62d13691,0
85,0910,90616,3,fagr,130,1.3,0.199999999999989,13.8,AU,CR,,LI,finished,C,C,1,0,0,2,2,,,2aaac7e4-14b3-4dd2-85c0-4b13b7704008,db82b19a-a9d7-4e3c-aed6-0a1cd81a8ac2,1
86,0917,92024,2,quru,466,2.3,14.1,11.7,A,,,,not started,,,1,0,0,,,,,e5b197ca-fbc1-49b6-87c8-f4ef8e8e84e8,77faac10-0f74-41db-96d2-e3f05cbf1776,0
87,0917,92029,2,quru,520,1.3,11.5,14,DS,,,,not started,,,1,0,0,,,,,c442d400-4742-4af0-97b3-37c276c3426a,6997a7fc-975f-4073-909a-c013b6cf7dfb,0
88,0919,92090,2,cagl,323,2.3,9.80000000000001,0.800000000000011,A,,,,not started,,,1,0,0,,,,,7acf6e65-1435-451e-b1a4-e5e730e0324a,6a83893d-b660-45b4-821d-503b7016a750,0
89,0923,92270,2,acru,102,1.3,19.8,5.19999999999999,AU,B,,,not started,,,1,0,0,,,,,32005cbb-9f66-4d92-b018-9588abb0e3e3,4ed0c721-d9f0-456e-8175-09dde1c98417,0
90,0926,92408,2,nysy,146,1.3,2.80000000000001,2.30000000000001,AU,"B,W,R",,,not started,,,1,0,0,,,,,b13a6682-9d1c-4669-a728-ec56d0f79956,821b1319-fff8-410c-9859-a169489f5d9f,0
91,0926,92409,2,litu,475,2,5,0.399999999999977,A,,,,not started,,,1,0,0,,,,,f4973173-047f-4ac9-a549-84e8af3d6aa9,33f61054-0e08-405d-b2b5-887e57ea57ca,0
92,0927,92450,2,cagl,367,1.3,11.2,1,A,,,,not started,,,1,0,0,,,,,6d34e5bb-a7b7-413b-a06d-a4549b1d25ce,05c8ca1f-34ca-47bb-9f5c-8893af7e1550,0
93,0927,92454,2,caovl,249,1.3,18.6,13.7,AU,"R,W,DF",,,not started,,,1,0,0,,,,,0e8326e3-c950-422e-a485-8e394b90e264,27be87df-6b2d-48fe-a738-3aaec78b9c0b,0
94,0929,92512,2,litu,127,1.3,2.90000000000001,16,A,,,,not started,,,1,0,0,,,,,3c7d24b5-602f-454c-b639-5a97d8762725,2e91b585-12c8-4064-a165-d4b4fa8c0b8f,0
95,0930,92527,2,litu,187,1.3,17,19.3,A,,,,not started,,,1,0,0,,,,,b2ce7b1f-7c05-4f5b-bf82-63bf86966a62,794e52a5-d725-4514-bf48-fe297c84ba20,0
96,1004,100720,2,litu,331,1.3,1.69999999999999,12,A,,,LI,finished,,,1,0,0,5,5,,,14db0478-d0f7-4d2a-bf26-2a344ec658d8,b2d3c485-9203-4e48-be24-dfb74ba4aae1,0
97,1006,101008,2,tiam,127,1.3,4.19999999999999,11.6,A,,,LI,finished,,,1,0,0,5,5,,,89496d14-d702-4d8c-a61b-7227aa974ce3,7bf8c663-9eaa-4445-824f-4e0e1acbce0b,0
98,1008,101069,2,litu,291,1.3,11.1,10,DS,"DF,R,W",,DS,finished,R,R,1,0,0,4,,,,88f9d584-52c7-44f1-8c7e-20fdb8f4e0b0,51afdc3b-d358-42a8-b383-ad5e540292d9,0
99,1009,101098,2,litu,242,1.3,8.09999999999999,15.2,A,,,LI,finished,,,1,0,0,5,5,,,bcee6926-6f08-478c-a00a-de06801a5adb,5db706b6-2069-4e0d-add8-f2a49022d74c,0
100,1011,100985,2,fagr,116,1.3,13.7,14.6,A,,,LI,finished,,,1,0,0,5,5,,,3f1e421e-9e9f-4710-91b1-0debd8225310,153e3812-3ad4-4039-99bc-e1547baf6709,1
101,1014,101170,2,litu,253,1.3,2.19999999999999,16.1,A,,,,not started,,,1,0,0,,,,,75ab2e99-e5e7-4eeb-9094-0e6844e8d7be,c2264f3e-5231-4383-91d1-9b85a26f828c,0
102,1028,102430,2,litu,398,1.3,16.3,10.5,A,,,,not started,,,1,0,0,,,,,0055ec28-40d3-425e-85f9-77b34690657a,8ab7b26b-1707-4e98-8c6f-ffb1671b8bd9,0
103,1028,102430,3,litu,397,1.3,16.3,10.5,A,,,,not started,,,1,0,0,,,,,90350ddd-eb87-48c3-87c2-8e3c10198b45,8ab7b26b-1707-4e98-8c6f-ffb1671b8bd9,0
104,1028,102438,2,litu,476,2.3,8.5,16.6,A,,,,not started,,,1,0,0,,,,,97c51ddb-f370-4163-81af-26d5d35473dd,273f1073-db7e-4a4d-a277-b5c2482c6879,0
105,1029,102446,2,litu,273,1.3,0.5,3.70000000000005,A,,,,not started,,,1,0,0,,,,,69180232-f891-449a-a979-e07206221b65,df467b2e-6ba5-48f4-b854-5a7442bdd441,0
106,1107,111032,2,litu,440,1.3,10.3,19,A,,,LI,finished,,,1,0,0,5,5,,,6dac0611-c279-417a-a950-f31771095327,8cb625a1-73db-4b23-b432-9a647e454dfa,0
107,1118,112093,2,litu,548,1.3,8.80000000000001,6.19999999999999,A,,,,not started,,,1,0,0,,,,,7c61285e-8aa2-438f-addd-562e44955dac,9e2a58e4-7840-4b54-8ed4-b4115a223ae5,0
108,1126,112388,2,cagl,158,1.3,2.69999999999999,17.1,A,,,,not started,,,1,0,0,,,,,7012457a-64f2-4f79-86c5-3d9a23f782e2,bd554250-440d-4bb9-aac1-f6675dcd5c75,0
109,1130,112478,2,caovl,135,1.3,8.69999999999999,17.4,A,,,,not started,,,1,0,0,,,,,964bb88c-35bf-48bd-b5c7-92b630a8c08f,9f6cbc22-df09-4cce-a3d8-c3b6a8a31597,0
110,1201,120018,2,nysy,228,1.3,4.5,1.3,A,,,,not started,,,1,0,0,,,,,1b063fab-e1d3-4665-b6c0-56fbc32520a2,6b359e18-0ea5-4ad5-8302-38b6b76af873,0
111,1204,120830,2,litu,373,1.3,16.7,8.90000000000001,A,,,LI,finished,,,1,0,0,5,5,,,edd0f993-86aa-4bd8-81da-2ad3309c9c88,8bf7ae08-112f-46c8-b532-5cb140fcdbfe,0
112,1210,121187,2,caca,100,1.3,18.6,5.69999999999999,AU,"F,W,R,DF",,DS,finished,B,"W,F,B",1,0,0,1,,,,85b27595-0bdb-475f-a956-36702909eb76,117615c7-b1d5-46d0-97cc-3616707b8232,0
113,1218,122044,2,fagr,185,1.3,9.5,8,A,,,,not started,,,1,0,0,,,,,caacd60a-45f5-4aaf-9060-0ba8885e9e72,b54a9ec7-e5e8-4d84-907a-03289be9a73c,0
114,1229,122489,2,cagl,183,1.3,2.80000000000001,4.29999999999995,A,,,,not started,,,1,0,0,,,,,89eed700-0663-410b-ab2e-f31934f34ac4,428fcb2b-afbb-41af-aedb-3879c27c3244,0
115,1232,122563,2,quve,509,1.6,1.59999999999999,3.70000000000005,AU,"K,DF",,,not started,,,1,0,0,,,,,513d0ec9-5445-4e04-8e8c-179ae89a13ba,ab91d181-9147-4fa7-882c-05b342c35645,0
116,1303,130438,2,litu,420,1.3,9.19999999999999,14.3,A,,,,not started,,,1,0,0,,,,,6ca96d64-2d8f-45df-9709-a32975feafcb,1d0e3f26-2644-47ed-91b8-0b913a580d8e,0
117,1306,130718,2,litu,219,1.3,7.30000000000001,11.3,A,,,LI,finished,,,1,0,0,5,5,,,442dbc1e-d2cc-4c21-a350-4f329c9be474,e10d7f9a-1c3c-49f0-92ba-4f6e35e0197c,0
118,1306,130932,2,litu,682,1.3,19.2,4,A,,,LI,finished,,,1,0,,5,5,,,ec5564b6-1ad7-45c5-83ab-cecf37e3eb5f,9abd8991-074d-4d7a-9ae9-4017c12934bb,0
119,1315,131337,2,caco,148,1.3,0.400000000000006,19.9,A,,,,not started,,,1,0,0,,,,,23e1b5b3-b0f6-41ff-8b84-e2b09826471c,86997a01-250a-454a-8833-e482b936b79b,0
120,1331,132464,2,caovl,153,1.3,8.80000000000001,6.70000000000005,A,,,,not started,,,1,0,0,,,,,10b88aa2-a55a-4542-b6e7-eaad0aa890cf,01d38a03-6a74-4937-887c-932399be8141,0
121,1406,140674,2,fagr,107,1.3,4.80000000000001,6.7,A,,,LI,finished,,,1,0,0,5,5,,,4c5ffea7-49e3-4cbf-9d23-007e44c75fbe,725b1629-ddf1-4273-9165-dc3ce7c25c3a,1
122,1406,140674,3,fagr,100,,4.80000000000001,6.7,A,,,LI,finished,,,1,0,0,5,5,,,ef2d9a4a-67de-41f7-82bd-cd4d83c03acc,725b1629-ddf1-4273-9165-dc3ce7c25c3a,1
123,1423,142350,2,qupr,170,1.3,10.8,18.5,DS,,,,not started,,,1,0,0,,,,,6a023a5d-02bf-4263-b029-ac1d26396d6e,2ba0b47c-c5cb-4795-9b3d-6edf33d44ef2,0
124,1425,142371,2,cagl,220,1.3,17.3,8.19999999999999,A,,,,not started,,,1,0,0,,,,,9be7d009-0a5a-457e-a966-3bb165b1f19b,bc5a6ac2-3d83-4460-99ef-9f0b3a94b826,0
125,1505,150783,2,litu,278,2.3,0.399999999999977,2.40000000000001,A,,,,not started,,,1,0,0,,,,,02852b26-30cc-479a-a6c6-90d097fc804f,93dc178a-8dcd-4c64-b120-d49a07f314c3,0
126,1514,151168,2,prav,152,1.3,10.5,2.60000000000002,AU,"B,DF,W",,,not started,,,1,0,0,,,,,55c660cf-f676-463e-b27c-985ccc182c37,da1b9c41-a241-4230-b625-8904c09891b3,0
