"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
202595,1,"fram","2032",388.7,636.8,492,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202965,1,"fram","2032",397.2,636.3,445,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202570,1,"ulru","2031",384.8,600.6,185,"1.3","A","A","A","AU","D","AU","AU","AU","PD",0,0,0,0,0
202940,1,"fram","2031",399.1,605.4,103,"1.3",NA,"A","A","A","A","A","A","A","DS",0,0,0,0,0
202563,1,"litu","2030",387.5,581.5,123,"1.3","A","A","A","AU","A","AU","AU","A","DC",0,0,0,0,0
202758,1,"fram","2027",390.1,523.2,235,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202733,1,"fram","2026",397.8,508.5,307,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
201424,2,"cato","2016",382,307.3,124,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
100942,1,"qupr","1009",196.2,167.4,281,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
101087,1,"litu","1009",188.1,162.4,233,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
110644,1,"fram","1103",205.3,50.6,179,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
110735,1,"fram","1103",203.9,58.8,119,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
171307,1,"fram","1712",331.4,231.3,117,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
171303,1,"fram","1712",335.4,225.8,284,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
172544,1,"fram","1728",329.6,555.4,158,"1.3","A","A","A","A","A","AU","AU","AU","PD",0,0,0,0,0
172627,1,"cofl","1731",332.2,618.6,101,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
172626,1,"fram","1731",332.5,615.7,501,"1.3","A","A","A","AU","D","AU","AU","AU","PD",0,1,0,0,0
172623,1,"fram","1731",332.3,609.3,230,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
172534,1,"ulru","1727",320.1,530.8,273,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
172402,1,"quru","1725",335,485,340,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
172388,1,"fram","1724",336.7,462.6,540,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,0,0,0
172384,1,"ceca","1723",335,458.5,130,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
