"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","timeint_days","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","surveyor","current_year_comment","previous_year_comment","submission_id"
2013,121447,1,"ulru","Ulmus","rubra","1215",292.2,235.7,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121449,1,"caco","Carya","cordiformis","1215",297.4,237.7,NA,NA,600.5,2.77,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121450,1,"caovl","Carya","ovalis","1215",296.5,235.9,NA,NA,113,0.06,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121456,1,"ceca","Cercis","canadensis","1216",302.2,233,NA,NA,119.5,0.05,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121457,1,"ceca","Cercis","canadensis","1216",303.1,228.6,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121458,1,"cato","Carya","tomentosa","1216",305.4,230.3,NA,NA,167.1,0.14,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121459,1,"caovl","Carya","ovalis","1216",308.9,231.5,NA,NA,112.2,0.06,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121463,1,"caco","Carya","cordiformis","1216",311.4,236.1,NA,NA,199.7,0.22,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121464,1,"ulru","Ulmus","rubra","1216",312.7,238.4,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121465,1,"ulru","Ulmus","rubra","1216",314.7,233.7,NA,NA,NA,NA,0,2013-07-22,1711,"D","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
