"Species","survey_year","dbh_class","AtoAU_rate","LCI_95","UCI_95","mean_dbh","N0","n_died","mean_timeint_yr"
"All","2022","(351,534]",6.74,4.99,3.93,8.5,1204,86,1.06
"All","2023","(351,534]",11.57,9.5,1.84,13.76,1150,139,1.05
"All","2024","(351,534]",6.37,4.91,1.82,7.94,1143,68,0.93
"All","2025","(351,534]",0,0,3.01,0,1139,0,0.94
"All","2026","(351,534]",4.1,2.92,1.19,5.66,1116,44,0.96
"All","2013","(534,811]",0,0,0,0,1198,0,4.72
"All","2014","(534,811]",0,0,0.75,0,1201,0,1.24
"All","2015","(534,811]",0,0,1.23,0,1194,0,0.79
"All","2016","(534,811]",1.27,0.63,1.45,1.98,1189,15,0.99
"All","2017","(534,811]",3.68,2.24,2.4,5.14,1180,44,1.01
"All","2018","(534,811]",1.72,1,2.03,2.47,1160,19,0.95
"All","2019","(534,811]",2.32,1.25,0.62,3.5,1244,30,1.04
"All","2020","(534,811]",5.82,4.52,2.81,7.45,1239,74,1.03
"All","2021","(534,811]",6.11,4.39,3.97,8.02,1235,71,0.94
"All","2022","(534,811]",6.46,4.8,1.29,8.19,1186,81,1.06
"All","2023","(534,811]",9.67,7.95,1.37,11.39,1238,125,1.05
"All","2024","(534,811]",4.92,3.77,2.48,6.3,1229,55,0.91
"All","2025","(534,811]",0,0,1.2,0,1215,0,0.98
"All","2026","(534,811]",7.08,5.44,1.13,8.82,1206,81,0.95
"All","2013","(811,1.23e+03]",0,0,0,0,123,0,4.7
"All","2014","(811,1.23e+03]",0,0,3.33,0,123,0,1.27
"All","2015","(811,1.23e+03]",0,0,3.52,0,121,0,0.79
"All","2016","(811,1.23e+03]",1.66,0,0,4.49,121,2,0.99
"All","2017","(811,1.23e+03]",4.9,1.55,4.4,9.18,121,6,1.01
"All","2018","(811,1.23e+03]",1.76,0,5.91,4.29,119,2,0.95
"All","2019","(811,1.23e+03]",4,1.23,3.59,7.37,144,6,1.04
"All","2020","(811,1.23e+03]",10.38,6.05,10.79,15.44,142,15,1.02
"All","2021","(811,1.23e+03]",13.43,7.94,6.26,19.97,133,17,0.95
"All","2022","(811,1.23e+03]",10.88,5.98,8.82,16.07,129,15,1.07
"All","2023","(811,1.23e+03]",15.5,9.88,5.55,21.52,150,24,1.04
"All","2024","(811,1.23e+03]",3.03,0.69,0,6.07,147,4,0.9
"All","2025","(811,1.23e+03]",0,0,4.63,0,147,0,0.99
"All","2026","(811,1.23e+03]",6.57,2.29,2.51,11.52,144,9,0.95
"All","2013","(1.23e+03,1.87e+03]",0,0,0,0,8,0,4.53
"All","2014","(1.23e+03,1.87e+03]",0,0,0,0,8,0,1.23
"All","2015","(1.23e+03,1.87e+03]",0,0,0,0,8,0,0.78
"All","2016","(1.23e+03,1.87e+03]",0,0,0,0,8,0,1
"All","2017","(1.23e+03,1.87e+03]",0,0,0,0,8,0,1
"All","2018","(1.23e+03,1.87e+03]",0,0,0,0,8,0,0.94
"All","2019","(1.23e+03,1.87e+03]",10.61,0,0,34.37,9,1,1.05
"All","2020","(1.23e+03,1.87e+03]",0,0,0,0,9,0,1.02
"All","2021","(1.23e+03,1.87e+03]",11.6,0,36.43,35.08,9,1,0.95
"All","2022","(1.23e+03,1.87e+03]",0,0,0,0,8,0,1.12
"All","2023","(1.23e+03,1.87e+03]",10.46,0,0,38.45,9,1,1.07
"All","2024","(1.23e+03,1.87e+03]",25.43,0,0,58.99,9,2,0.86
"All","2025","(1.23e+03,1.87e+03]",0,0,39.66,0,9,0,0.93
"All","2026","(1.23e+03,1.87e+03]",0,0,0,0,7,0,0.97
"acne","2013","[100,152]",0,0,0,0,4,0,4.67
"acne","2014","[100,152]",0,0,0,0,4,0,1.24
"acne","2015","[100,152]",0,0,0,0,4,0,0.8
"acne","2016","[100,152]",0,0,0,0,4,0,1
"acne","2017","[100,152]",0,0,0,0,4,0,1.01
"acne","2018","[100,152]",0,0,0,0,4,0,0.98
"acne","2019","[100,152]",0,0,0,0,2,0,1.04
"acne","2020","[100,152]",16.44,0,0,76.32,6,1,1.01
"acne","2021","[100,152]",18.48,0,0,100,6,1,0.89
"acne","2022","[100,152]",17.75,0,0,29.35,5,1,1.14
"acne","2023","[100,152]",22.69,0,0,46.27,4,1,1.12
"acne","2024","[100,152]",0,0,0,0,4,0,0.85
"acne","2025","[100,152]",0,0,0,0,9,0,0.97
"acne","2026","[100,152]",23.66,0,0,47.18,9,2,0.93
"acne","2013","(152,231]",0,0,0,0,1,0,4.84
"acne","2014","(152,231]",0,0,0,0,1,0,1.15
"acne","2015","(152,231]",0,0,0,0,1,0,0.8
"acne","2016","(152,231]",0,0,0,0,1,0,0.99
"acne","2017","(152,231]",0,0,0,0,1,0,1
"acne","2018","(152,231]",0,0,0,0,1,0,1.03
"acne","2019","(152,231]",0,0,0,0,2,0,1.04
"acne","2020","(152,231]",0,0,0,0,3,0,1.02
"acne","2021","(152,231]",0,0,0,0,3,0,0.9
"acne","2022","(152,231]",29.81,0,0,100,3,1,1.15
"acne","2023","(152,231]",30.79,0,0,47.41,3,1,1.1
"acne","2024","(152,231]",25.93,0,0,100,4,1,0.96
"acne","2025","(152,231]",0,0,0,0,4,0,0.9
"acne","2026","(152,231]",0,0,100,0,4,0,0.94
"acne","2013","(231,351]",0,0,0,0,1,0,4.52
"acne","2014","(231,351]",0,0,0,0,1,0,1.39
"acne","2015","(231,351]",0,0,0,0,1,0,0.75
"acne","2016","(231,351]",0,0,0,0,1,0,1
"acne","2017","(231,351]",0,0,0,0,1,0,1.05
"acne","2018","(231,351]",0,0,0,0,1,0,0.9
"acne","2019","(231,351]",0,0,0,0,2,0,1.01
"acne","2020","(231,351]",0,0,0,0,2,0,1.03
"acne","2021","(231,351]",0,0,0,0,2,0,0.95
"acne","2022","(231,351]",48.01,0,0,100,2,1,1.06
"acne","2023","(231,351]",0,0,0,0,2,0,1.09
"acne","2024","(231,351]",0,0,0,0,2,0,0.84
"acne","2025","(231,351]",0,0,0,0,3,0,0.95
"acne","2026","(231,351]",0,0,0,0,3,0,0.94
"acpl","2013","[100,152]",0,0,0,0,1,0,4.74
"acpl","2014","[100,152]",0,0,0,0,1,0,1.14
"acpl","2015","[100,152]",0,0,0,0,1,0,0.8
"acpl","2016","[100,152]",0,0,0,0,1,0,0.99
"acpl","2017","[100,152]",0,0,0,0,1,0,1.02
"acpl","2018","[100,152]",0,0,0,0,1,0,0.93
"acpl","2019","[100,152]",0,0,0,0,1,0,1.04
"acpl","2020","[100,152]",0,0,0,0,1,0,1.03
"acpl","2021","[100,152]",0,0,0,0,1,0,0.97
"acpl","2022","[100,152]",0,0,0,0,1,0,1.03
"acpl","2023","[100,152]",0,0,0,0,1,0,1.15
"acpl","2024","[100,152]",0,0,0,0,1,0,1
"acpl","2025","[100,152]",0,0,0,0,1,0,0.83
"acpl","2026","[100,152]",0,0,0,0,1,0,0.87
"acpl","2013","(152,231]",0,0,0,0,4,0,4.75
"acpl","2014","(152,231]",0,0,0,0,4,0,1.22
"acpl","2015","(152,231]",0,0,0,0,4,0,0.79
"acpl","2016","(152,231]",0,0,0,0,4,0,0.98
"acpl","2017","(152,231]",0,0,0,0,4,0,1.05
"acpl","2018","(152,231]",0,0,0,0,4,0,0.94
"acpl","2019","(152,231]",0,0,0,0,4,0,1.01
"acpl","2020","(152,231]",0,0,0,0,4,0,1.04
"acpl","2021","(152,231]",0,0,0,0,4,0,0.91
"acpl","2022","(152,231]",0,0,0,0,4,0,1.09
"acpl","2023","(152,231]",0,0,0,0,4,0,0.98
"acpl","2024","(152,231]",25.53,0,0,79.58,4,1,0.98
"acpl","2025","(152,231]",0,0,0,0,4,0,0.96
"acpl","2026","(152,231]",0,0,0,0,4,0,0.94
"acpl","2013","(231,351]",0,0,0,0,2,0,4.78
"acpl","2014","(231,351]",0,0,0,0,2,0,1.16
"acpl","2015","(231,351]",0,0,0,0,2,0,0.8
"acpl","2016","(231,351]",0,0,0,0,2,0,0.98
"acpl","2017","(231,351]",0,0,0,0,2,0,1.02
"acpl","2018","(231,351]",0,0,0,0,2,0,1.03
"acpl","2019","(231,351]",0,0,0,0,1,0,0.85
"acpl","2020","(231,351]",0,0,0,0,1,0,1.07
"acpl","2021","(231,351]",0,0,0,0,1,0,0.96
"acpl","2022","(231,351]",0,0,0,0,1,0,1.14
"acpl","2023","(231,351]",100,100,0,100,1,1,0.84
"acpl","2024","(231,351]",0,0,0,0,1,0,0.86
"acpl","2025","(231,351]",0,0,0,0,1,0,1.21
"acpl","2026","(231,351]",0,0,0,0,1,0,0.91
"acpl","2019","(351,534]",0,0,0,0,1,0,1
"acpl","2020","(351,534]",0,0,0,0,1,0,1.03
"acpl","2021","(351,534]",0,0,0,0,1,0,0.94
"acpl","2022","(351,534]",0,0,0,0,1,0,1
"acpl","2023","(351,534]",0,0,0,0,1,0,0.92
"acpl","2024","(351,534]",0,0,0,0,1,0,1.14
"acpl","2025","(351,534]",0,0,0,0,1,0,0.91
"acpl","2026","(351,534]",0,0,0,0,1,0,0.92
"acru","2013","[100,152]",0,0,0,0,71,0,4.73
"acru","2014","[100,152]",0,0,5.8,0,71,0,1.24
"acru","2015","[100,152]",0,0,0,0,69,0,0.79
"acru","2016","[100,152]",13.07,5.11,4.43,22.25,69,9,1
"acru","2017","[100,152]",2.87,0,4.66,7.26,68,2,1.02
"acru","2018","[100,152]",6.24,1.35,10.41,13.43,67,4,0.95
"acru","2019","[100,152]",1.68,0,5.78,5.92,56,1,1.06
"acru","2020","[100,152]",9.62,3.54,12.35,17.67,61,6,1.02
"acru","2021","[100,152]",9.1,2.05,9.96,17.85,60,5,0.91
"acru","2022","[100,152]",18.72,7.81,11.34,29.23,56,11,1.06
"acru","2023","[100,152]",7.82,1.67,6.98,16.94,49,4,1.05
"acru","2024","[100,152]",12.55,3.94,0,22.02,49,6,0.97
"acru","2025","[100,152]",0,0,11.52,0,53,0,0.91
"acru","2026","[100,152]",2.02,0,7.39,6.89,51,1,0.97
"acru","2013","(152,231]",0,0,0,0,61,0,4.69
"acru","2014","(152,231]",0,0,4.1,0,61,0,1.28
"acru","2015","(152,231]",0,0,7.07,0,60,0,0.79
"acru","2016","(152,231]",0,0,0,0,59,0,1
"acru","2017","(152,231]",3.29,0,0,8.16,59,2,1.03
"acru","2018","(152,231]",3.54,0,0,10.47,59,2,0.96
"acru","2019","(152,231]",1.58,0,0,5.41,60,1,1.05
"acru","2020","(152,231]",9.9,2.38,6.02,19.54,60,6,1.01
"acru","2021","(152,231]",11.08,3.54,6.5,20.71,60,6,0.9
"acru","2022","(152,231]",8.74,2.05,6.11,17.68,55,5,1.04
"acru","2023","(152,231]",20.05,7.02,0,34.53,56,12,1.08
"acru","2024","(152,231]",16,7.94,5.51,26.19,58,9,0.97
"acru","2025","(152,231]",0,0,6.72,0,57,0,0.91
"acru","2026","(152,231]",7.33,1.51,0,15.98,56,4,0.97
"acru","2013","(231,351]",0,0,0,0,30,0,4.67
"acru","2014","(231,351]",0,0,8.37,0,30,0,1.3
"acru","2015","(231,351]",0,0,14.99,0,29,0,0.79
"acru","2016","(231,351]",0,0,0,0,28,0,1
"acru","2017","(231,351]",3.49,0,0,12.84,28,1,1.02
"acru","2018","(231,351]",0,0,0,0,28,0,0.96
"acru","2019","(231,351]",0,0,0,0,33,0,1.03
"acru","2020","(231,351]",8.81,0,0,20.7,33,3,1.03
"acru","2021","(231,351]",15.12,4.84,0,25.19,37,5,0.89
"acru","2022","(231,351]",8.84,0,11.18,17.64,32,3,1.06
"acru","2023","(231,351]",22.08,9.16,0,40.72,30,7,1.07
"acru","2024","(231,351]",3.31,0,0,13.39,32,1,0.94
"acru","2025","(231,351]",0,0,0,0,32,0,0.94
"acru","2026","(231,351]",3.21,0,0,11.75,32,1,0.97
"acru","2013","(351,534]",0,0,0,0,22,0,4.63
"acru","2014","(351,534]",0,0,0,0,22,0,1.36
"acru","2015","(351,534]",0,0,0,0,22,0,0.81
"acru","2016","(351,534]",0,0,0,0,22,0,1
"acru","2017","(351,534]",4.41,0,0,13.38,22,1,1.03
"acru","2018","(351,534]",9.63,0,14.74,18.32,22,2,0.94
"acru","2019","(351,534]",4.76,0,0,18.76,20,1,1.05
"acru","2020","(351,534]",4.91,0,0,14.04,20,1,1.02
"acru","2021","(351,534]",11.32,0,22.05,30.52,20,2,0.88
"acru","2022","(351,534]",0,0,16.89,0,19,0,1.12
"acru","2023","(351,534]",14.13,0,0,30.75,21,3,1.01
"acru","2024","(351,534]",5.01,0,0,18.04,21,1,0.95
"acru","2025","(351,534]",0,0,29.97,0,21,0,0.93
"acru","2026","(351,534]",0,0,0,0,18,0,0.98
"acru","2013","(534,811]",0,0,0,0,5,0,4.53
"acru","2014","(534,811]",0,0,0,0,5,0,1.32
"acru","2015","(534,811]",0,0,0,0,5,0,0.86
"acru","2016","(534,811]",0,0,0,0,5,0,0.99
"acru","2017","(534,811]",0,0,0,0,5,0,1.02
"acru","2018","(534,811]",0,0,0,0,5,0,0.97
"acru","2019","(534,811]",0,0,0,0,6,0,0.99
"acru","2020","(534,811]",0,0,0,0,6,0,1.02
"acru","2021","(534,811]",18.26,0,0,42.52,6,1,0.9
"acru","2022","(534,811]",15.33,0,0,35.61,6,1,1.1
"acru","2023","(534,811]",15.4,0,0,61.94,6,1,1.09
"acru","2024","(534,811]",0,0,0,0,6,0,0.96
"acru","2025","(534,811]",0,0,0,0,6,0,0.86
"acru","2026","(534,811]",0,0,0,0,6,0,0.98
"aial","2013","[100,152]",0,0,0,0,1,0,4.42
"aial","2014","[100,152]",0,0,0,0,1,0,1.48
"aial","2015","[100,152]",0,0,0,0,1,0,0.82
"aial","2016","[100,152]",0,0,0,0,1,0,0.95
"aial","2017","[100,152]",0,0,0,0,1,0,0.92
"aial","2018","[100,152]",0,0,0,0,1,0,0.99
"aial","2025","[100,152]",0,0,0,0,5,0,1.21
"aial","2026","[100,152]",0,0,0,0,5,0,0.87
"aial","2013","(152,231]",0,0,0,0,1,0,4.41
"aial","2014","(152,231]",0,0,0,0,1,0,1.49
"aial","2015","(152,231]",0,0,0,0,1,0,0.81
"aial","2016","(152,231]",0,0,0,0,1,0,0.96
"aial","2017","(152,231]",0,0,0,0,1,0,0.92
"aial","2018","(152,231]",0,0,0,0,1,0,0.99
"aial","2019","(152,231]",0,0,0,0,2,0,0.99
"aial","2020","(152,231]",0,0,0,0,2,0,1.04
"aial","2021","(152,231]",0,0,48.95,0,2,0,1.03
"aial","2022","(152,231]",0,0,0,0,1,0,1.02
"aial","2024","(152,231]",0,0,0,0,1,0,0.69
"aial","2025","(152,231]",0,0,0,0,1,0,1.3
"aial","2026","(152,231]",0,0,0,0,1,0,0.85
"aial","2013","(231,351]",0,0,0,0,2,0,4.47
"aial","2014","(231,351]",0,0,0,0,2,0,1.42
"aial","2015","(231,351]",0,0,0,0,2,0,0.81
"aial","2016","(231,351]",0,0,0,0,2,0,0.96
"aial","2017","(231,351]",0,0,0,0,2,0,0.92
"aial","2018","(231,351]",50.21,0,0,100,2,1,0.99
"aial","2019","(231,351]",0,0,0,0,1,0,0.99
"aial","2020","(231,351]",0,0,0,0,1,0,1.05
"aial","2021","(231,351]",0,0,0,0,1,0,1.01
"aial","2022","(231,351]",0,0,0,0,1,0,1.16
"aial","2023","(231,351]",0,0,0,0,2,0,0.94
"aial","2024","(231,351]",0,0,0,0,2,0,0.72
"aial","2025","(231,351]",0,0,0,0,2,0,1.27
"aial","2026","(231,351]",0,0,0,0,2,0,0.87
"aial","2019","(351,534]",0,0,0,0,1,0,0.98
"aial","2020","(351,534]",0,0,0,0,1,0,1.05
"aial","2021","(351,534]",0,0,0,0,1,0,1.08
"aial","2022","(351,534]",0,0,0,0,1,0,1.02
"aial","2023","(351,534]",0,0,0,0,1,0,0.96
"aial","2024","(351,534]",100,100,0,100,1,1,0.75
"aial","2025","(351,534]",0,0,0,0,1,0,1.28
"aial","2026","(351,534]",0,0,0,0,1,0,0.85
"amar","2013","[100,152]",0,0,0,0,14,0,4.71
"amar","2014","[100,152]",0,0,0,0,14,0,1.25
"amar","2015","[100,152]",0,0,0,0,14,0,0.8
"amar","2016","[100,152]",0,0,0,0,14,0,1
"amar","2017","[100,152]",0,0,22.68,0,14,0,1.03
"amar","2018","[100,152]",0,0,0,0,13,0,0.97
"amar","2019","[100,152]",0,0,0,0,13,0,1.03
"amar","2020","[100,152]",5.83,0,0,17.05,17,1,1.01
"amar","2021","[100,152]",6.34,0,0,21.95,17,1,0.93
"amar","2022","[100,152]",19.23,0,31.71,42.89,15,3,1.04
"amar","2023","[100,152]",7.29,0,37.31,25.7,13,1,1.06
"amar","2024","[100,152]",9.29,0,0,33.88,12,1,0.89
"amar","2025","[100,152]",0,0,24.55,0,15,0,0.94
"amar","2026","[100,152]",0,0,0,0,14,0,0.98
"amar","2013","(152,231]",0,0,0,0,4,0,4.66
"amar","2014","(152,231]",0,0,0,0,4,0,1.26
"amar","2015","(152,231]",0,0,0,0,4,0,0.79
"amar","2016","(152,231]",0,0,0,0,4,0,0.99
"amar","2017","(152,231]",0,0,0,0,4,0,1.03
"amar","2018","(152,231]",0,0,0,0,4,0,0.96
"amar","2019","(152,231]",32.63,0,0,100,3,1,1.03
"amar","2020","(152,231]",0,0,0,0,3,0,0.96
"amar","2021","(152,231]",0,0,0,0,3,0,0.96
"amar","2022","(152,231]",0,0,0,0,3,0,1.03
"amar","2023","(152,231]",32.58,0,0,100,3,1,1.03
"amar","2024","(152,231]",0,0,0,0,3,0,1
"amar","2025","(152,231]",0,0,0,0,3,0,0.96
"amar","2026","(152,231]",0,0,0,0,3,0,0.95
"amar","2019","(231,351]",100,100,0,100,1,1,1.03
"amar","2020","(231,351]",0,0,0,0,1,0,1.06
"amar","2021","(231,351]",0,0,0,0,2,0,0.97
"amar","2022","(231,351]",0,0,0,0,1,0,1.02
"amar","2023","(231,351]",0,0,0,0,2,0,1.08
"amar","2024","(231,351]",0,0,0,0,2,0,0.94
"amar","2025","(231,351]",0,0,0,0,2,0,0.89
"amar","2026","(231,351]",50.84,0,0,100,2,1,0.98
"astr","2013","[100,152]",0,0,0,0,4,0,4.57
"astr","2014","[100,152]",0,0,0,0,4,0,1.35
"astr","2015","[100,152]",0,0,0,0,4,0,0.76
"astr","2016","[100,152]",0,0,0,0,4,0,0.99
"astr","2017","[100,152]",0,0,0,0,4,0,1.07
"astr","2018","[100,152]",0,0,0,0,4,0,0.97
"astr","2019","[100,152]",0,0,0,0,4,0,1
"astr","2020","[100,152]",9.92,0,0,28.48,10,1,1.01
"astr","2021","[100,152]",10.68,0,0,30.57,10,1,0.93
"astr","2022","[100,152]",9.39,0,0,37.42,10,1,1.07
"astr","2023","[100,152]",26.89,0,36.56,70.95,11,3,1.02
"astr","2024","[100,152]",20.12,0,0,45.28,10,2,0.99
"astr","2025","[100,152]",0,0,29.11,0,17,0,0.87
"astr","2026","[100,152]",6.53,0,0,20,16,1,0.95
"caca","2013","[100,152]",0,0,0,0,206,0,4.6
"caca","2014","[100,152]",0,0,1.15,0,207,0,1.36
"caca","2015","[100,152]",0,0,0,0,206,0,0.78
"caca","2016","[100,152]",3.85,1.46,5.69,7.22,206,8,1.01
"caca","2017","[100,152]",3.41,0.75,9.45,6.15,199,7,1.03
"caca","2018","[100,152]",1.7,0,6.79,3.6,188,3,0.94
"caca","2019","[100,152]",1.86,0,0,4.74,155,3,1.04
"caca","2020","[100,152]",8.64,4.36,2.55,14.08,217,19,1.01
"caca","2021","[100,152]",16.7,11.2,4.93,22.61,227,35,0.92
"caca","2022","[100,152]",22.36,16.09,2.43,27.81,208,51,1.11
"caca","2023","[100,152]",17.29,12.2,2.7,23.45,196,35,1.04
"caca","2024","[100,152]",6.33,2.23,3.39,10.57,195,11,0.89
"caca","2025","[100,152]",0,0,6.21,0,247,0,0.95
"caca","2026","[100,152]",11.33,7.67,5.07,16.77,242,27,0.98
"caca","2013","(152,231]",0,0,0,0,39,0,4.57
"caca","2014","(152,231]",0,0,13.06,0,40,0,1.38
"caca","2015","(152,231]",0,0,0,0,37,0,0.78
"caca","2016","(152,231]",2.68,0,0,9.89,37,1,1.01
"caca","2017","(152,231]",7.78,0,0,16.61,37,3,1.04
"caca","2018","(152,231]",2.84,0,9.58,9.49,37,1,0.95
"caca","2019","(152,231]",1.78,0,0,6.67,54,1,1.04
"caca","2020","(152,231]",5.45,0,6.63,13.12,54,3,1.02
"caca","2021","(152,231]",26.18,14.98,6.54,40.98,59,14,0.89
"caca","2022","(152,231]",17.71,7.82,0,27.92,51,10,1.12
"caca","2023","(152,231]",29.15,14.87,6.57,43.62,57,17,1.03
"caca","2024","(152,231]",1.91,0,5.54,7.65,56,1,0.93
"caca","2025","(152,231]",0,0,18.1,0,56,0,0.92
"caca","2026","(152,231]",5.84,0,9.64,14.72,52,3,0.99
"caca","2013","(231,351]",0,0,0,0,1,0,4.61
"caca","2014","(231,351]",0,0,0,0,1,0,1.24
"caca","2015","(231,351]",0,0,0,0,1,0,0.75
"caca","2016","(231,351]",0,0,0,0,1,0,1.03
"caca","2017","(231,351]",0,0,0,0,1,0,0.99
"caca","2018","(231,351]",0,0,0,0,1,0,0.96
"caca","2019","(231,351]",0,0,0,0,2,0,1.01
"caca","2020","(231,351]",0,0,0,0,2,0,1
"caca","2021","(231,351]",50.12,0,0,100,2,1,1
"caca","2022","(231,351]",0,0,0,0,2,0,1.06
"caca","2023","(231,351]",0,0,0,0,1,0,1.09
"caca","2024","(231,351]",0,0,0,0,1,0,0.86
"caca","2025","(231,351]",0,0,0,0,1,0,1.02
"caca","2026","(231,351]",0,0,0,0,1,0,0.9
"caca","2013","(351,534]",0,0,0,0,1,0,4.58
"caca","2014","(351,534]",0,0,0,0,1,0,1.3
"caca","2015","(351,534]",0,0,0,0,1,0,0.78
"caca","2016","(351,534]",0,0,0,0,1,0,1.01
"caca","2017","(351,534]",0,0,0,0,1,0,1.04
"caca","2018","(351,534]",0,0,0,0,1,0,0.99
"caca","2019","(351,534]",0,0,0,0,1,0,0.96
"caca","2020","(351,534]",0,0,0,0,1,0,0.97
"caca","2021","(351,534]",0,0,0,0,1,0,1.17
"caca","2022","(351,534]",0,0,0,0,1,0,0.96
"caco","2013","[100,152]",0,0,0,0,67,0,4.68
"caco","2014","[100,152]",0,0,4.63,0,67,0,1.22
"caco","2015","[100,152]",0,0,0,0,66,0,0.8
"caco","2016","[100,152]",1.53,0,12.91,5.04,66,1,0.99
"caco","2017","[100,152]",0,0,5.52,0,62,0,1.01
"caco","2018","[100,152]",3.43,0,5.64,7.57,61,2,0.95
"caco","2019","[100,152]",4.09,0,0,14.81,49,2,1
"caco","2020","[100,152]",3.05,0,0,7.18,64,2,1.02
"caco","2021","[100,152]",1.6,0,7.54,4.48,64,1,0.97
"caco","2022","[100,152]",7.51,0,0,13.88,62,5,1.08
"caco","2023","[100,152]",8.24,1.64,5.64,17.37,47,4,1.03
"caco","2024","[100,152]",6.58,0,0,13.08,46,3,0.99
"caco","2025","[100,152]",0,0,0,0,70,0,0.89
"caco","2026","[100,152]",4.64,0,5.02,10.72,70,3,0.92
"caco","2013","(152,231]",0,0,0,0,67,0,4.67
"caco","2014","(152,231]",0,0,8.01,0,69,0,1.24
"caco","2015","(152,231]",0,0,6.2,0,67,0,0.79
"caco","2016","(152,231]",1.53,0,5.04,4.91,66,1,0.99
"caco","2017","(152,231]",3,0,15.09,6.59,65,2,1.02
"caco","2018","(152,231]",1.73,0,0,5.79,60,1,0.97
"caco","2019","(152,231]",0,0,0,0,57,0,1.01
"caco","2020","(152,231]",1.72,0,0,6.01,57,1,1.02
"caco","2021","(152,231]",1.87,0,6.23,5.86,57,1,0.94
"caco","2022","(152,231]",6.58,1.48,0,12.87,56,4,1.09
"caco","2023","(152,231]",1.74,0,0,4.56,55,1,1.05
"caco","2024","(152,231]",5.55,0,0,13.26,55,3,0.98
"caco","2025","(152,231]",0,0,0,0,56,0,0.9
"caco","2026","(152,231]",3.8,0,0,10.34,56,2,0.94
"caco","2013","(231,351]",0,0,0,0,43,0,4.67
