"variable","survey_year","sp","estimate","LCI_95","UCI_95","N0","n_died","mean_timeint_yr"
"mortality_rates","2021","cato",4.52150836343347,3.01281914037936,6.25361834069341,605,25,0.912061816597938
"mortality_rates","2022","cato",3.41772776179408,1.97151991527549,5.01844167368585,598,22,1.07787537284904
"mortality_rates","2013","ceca",0,0,0,121,0,4.7172942793626
"mortality_rates","2014","ceca",0,0,0,124,0,1.18080854915988
"mortality_rates","2015","ceca",0,0,0,116,0,0.802898345488447
"mortality_rates","2016","ceca",9.94067670747489,4.0276515250223,17.9459787831457,112,11,0.987361885205828
"mortality_rates","2017","ceca",19.4982783323848,11.5017535012092,28.4412073958073,106,21,1.01796391719293
"mortality_rates","2018","ceca",5.27266481308554,1.25671914256279,10.190775860475,99,5,0.956754402339618
"mortality_rates","2019","ceca",1.0554679982274,0,3.56306264076523,92,1,1.02999732166771
"mortality_rates","2020","ceca",16.1146490832955,9.25172355027237,25.6924009548355,114,19,1.03757339961814
"mortality_rates","2021","ceca",24.8813616668356,11.7649559462648,37.3103265795017,100,23,0.913538672142368
"mortality_rates","2022","ceca",20.983131872385,11.4147437011986,30.433283683493,91,20,1.05380177659438
"mortality_rates","2013","ceoc",0,0,0,40,0,4.62765229295003
"mortality_rates","2014","ceoc",0,0,0,40,0,1.26748802190281
"mortality_rates","2015","ceoc",0,0,0,36,0,0.806905468096433
"mortality_rates","2016","ceoc",0,0,0,33,0,0.997490303445129
"mortality_rates","2017","ceoc",14.8669303889124,2.58551957944346,31.4083423418184,33,5,1.02080351772344
"mortality_rates","2018","ceoc",19.262862122498,4.96503007482533,33.7742497701326,33,6,0.937838342355796
"mortality_rates","2019","ceoc",8.91139367464757,0,21.5193776909608,33,3,1.02113537842491
"mortality_rates","2020","ceoc",4.77907475343074,0,11.5921077635287,40,2,1.04743326488706
"mortality_rates","2021","ceoc",5.75483620859462,0,17.8982346959475,38,2,0.912208653049461
"mortality_rates","2022","ceoc",19.1935848522213,6.85439851003811,34.7971968820098,34,7,1.08169263598663
"mortality_rates","2013","coal",0,0,0,1,0,4.71731690622861
"mortality_rates","2014","coal",0,0,0,1,0,1.15537303216975
"mortality_rates","2015","coal",0,0,0,1,0,0.799452429842574
"mortality_rates","2016","coal",0,0,0,1,0,0.993839835728953
"mortality_rates","2017","coal",100,100,100,1,1,0.999315537303217
"mortality_rates","2018","coal",0,0,0,1,0,0.958247775496235
"mortality_rates","2019","coal",0,0,0,1,0,1.07323750855578
"mortality_rates","2020","coal",100,100,100,1,1,0.993839835728953
"mortality_rates","2021","coal",0,0,0,1,0,0.922655715263518
"mortality_rates","2013","cofl",0,0,0,17,0,4.62761203043846
"mortality_rates","2014","cofl",0,0,0,18,0,1.26853753137121
"mortality_rates","2015","cofl",0,0,0,18,0,0.799452429842574
"mortality_rates","2016","cofl",0,0,0,15,0,0.986173853524983
"mortality_rates","2017","cofl",6.32014556161224,0,22.6854203189261,16,1,0.988535249828884
"mortality_rates","2018","cofl",0,0,0,15,0,0.964636093999544
"mortality_rates","2019","cofl",0,0,0,15,0,1.00789413643623
"mortality_rates","2020","cofl",11.1899095038804,0,26.2077303414085,17,2,1.05471675323107
"mortality_rates","2021","cofl",12.4264057069311,0,29.2507145338249,17,2,0.94327012119016
"mortality_rates","2022","cofl",28.526488617011,0,58.7129526983414,13,4,1.09492971094614
"mortality_rates","2013","divi",0,0,0,1,0,4.61875427789186
"mortality_rates","2014","divi",0,0,0,1,0,1.28678986995209
"mortality_rates","2015","divi",0,0,0,1,0,0.791238877481177
"mortality_rates","2016","divi",0,0,0,1,0,0.988364134154689
"mortality_rates","2017","divi",0,0,0,1,0,0.996577686516085
"mortality_rates","2018","divi",0,0,0,1,0,0.974674880219028
"mortality_rates","2019","divi",0,0,0,1,0,0.97741273100616
"mortality_rates","2020","divi",0,0,0,1,0,1.02395619438741
"mortality_rates","2021","divi",0,0,0,1,0,0.955509924709103
"mortality_rates","2022","divi",0,0,0,1,0,1.19917864476386
"mortality_rates","2013","fagr",0,0,0,308,0,4.6323013058126
"mortality_rates","2014","fagr",0,0,0,308,0,1.29755460145604
"mortality_rates","2015","fagr",0,0,0,308,0,0.784785372054366
"mortality_rates","2016","fagr",1.30367947452704,0.275914706483557,2.73424449665282,307,4,0.999422554272095
"mortality_rates","2017","fagr",0,0,0,307,0,1.02674755365898
"mortality_rates","2018","fagr",0,0,0,307,0,0.952977189778988
"mortality_rates","2019","fagr",0.319969572690559,0,1.11745583016986,305,1,1.02472817854378
"mortality_rates","2020","fagr",4.28793479129226,1.44029819810804,8.07812765206786,345,15,1.01428245493954
"mortality_rates","2021","fagr",3.97852660502415,1.57000002304427,6.35143304491914,344,13,0.948888146061156
"mortality_rates","2022","fagr",10.2269183826715,5.31733874750633,15.2883349937633,342,38,1.09174602030973
"mortality_rates","2013","fram",0,0,0,417,0,4.67310422709061
"mortality_rates","2014","fram",0,0,0,421,0,1.23540151622307
"mortality_rates","2015","fram",0,0,0,407,0,0.798611566578712
"mortality_rates","2016","fram",10.5653124799181,7.53784983676817,13.5287423697136,401,42,0.99084253773506
"mortality_rates","2017","fram",15.476359204838,11.3190026249446,20.0339092567192,396,62,1.01269367183125
"mortality_rates","2018","fram",13.7458401695578,9.93224945893537,17.5675132273502,358,47,0.951770234667462
"mortality_rates","2019","fram",7.0685883051655,4.15868877059803,10.5237715882623,318,23,1.02411116707347
"mortality_rates","2020","fram",12.5205296865829,9.21405484026404,16.4848447620781,298,39,1.04858766405285
"mortality_rates","2021","fram",54.4967871463349,47.7941254115865,60.9682307049997,218,114,0.939949387437284
"mortality_rates","2022","fram",0.742703206153872,0,2.34775894665703,128,1,1.05210472279261
"mortality_rates","2013","frni",0,0,0,40,0,4.58843258042437
"mortality_rates","2014","frni",0,0,0,41,0,1.34074556351313
"mortality_rates","2015","frni",0,0,0,40,0,0.792607802874743
"mortality_rates","2016","frni",21.0977715010407,9.31719787188331,32.5543049871902,38,8,0.997586368385028
"mortality_rates","2017","frni",39.5642034016934,21.503592651985,60.3500980084489,32,13,1.03516427104723
"mortality_rates","2018","frni",10.0748420455203,0,22.2480660909256,21,2,0.942472540008474
"mortality_rates","2019","frni",0,0,0,9,0,1.02760666210358
"mortality_rates","2020","frni",10.7662313267543,0,39.4585183729612,9,1,1.03399498060689
"mortality_rates","2021","frni",30.144896234006,0,76.4653689251648,7,2,0.937909455363254
"mortality_rates","2022","frni",0,0,0,2,0,1.01163586584531
"mortality_rates","2013","frpe",0,0,0,13,0,4.7080503343337
"mortality_rates","2014","frpe",0,0,0,13,0,1.23140104248934
"mortality_rates","2015","frpe",0,0,0,13,0,0.797346390775549
"mortality_rates","2016","frpe",0,0,0,13,0,0.99278681619544
"mortality_rates","2017","frpe",8.07756059318676,0,24.2179767397509,12,1,1.03308236367785
"mortality_rates","2018","frpe",0,0,0,12,0,0.972393337896418
"mortality_rates","2019","frpe",0,0,0,12,0,1.04540269221994
"mortality_rates","2020","frpe",0,0,0,12,0,1.02920374172941
"mortality_rates","2021","frpe",71.9781135620492,41.2599731367807,92.9052306721764,12,8,0.863563769107917
"mortality_rates","2022","frpe",9.69420418001438,0,26.5056767662204,10,1,1.03326488706365
"mortality_rates","2013","havi",0,0,0,6,0,4.52886151038102
"mortality_rates","2014","havi",0,0,0,6,0,1.40406114533425
"mortality_rates","2015","havi",0,0,0,6,0,0.795801962126397
"mortality_rates","2016","havi",16.6701338385046,0,38.6080954382683,6,1,0.999771845767739
"mortality_rates","2017","havi",16.4375968933388,0,38.2644967072675,6,1,1.01528633356149
"mortality_rates","2018","havi",0,0,0,6,0,0.962354551676934
"mortality_rates","2019","havi",0,0,0,6,0,1.01163586584531
"mortality_rates","2020","havi",16.3337204796883,0,50.1096476152855,12,2,1.02235911476158
"mortality_rates","2021","havi",16.9170354125272,0,48.6208269642225,13,2,0.901384720686569
"mortality_rates","2022","havi",27.3572142422757,0,64.7659792720984,10,3,1.11594798083504
"mortality_rates","2013","juci",0,0,0,2,0,4.67077344284736
"mortality_rates","2014","juci",0,0,0,2,0,1.27994524298426
"mortality_rates","2015","juci",0,0,0,2,0,0.813141683778234
"mortality_rates","2016","juci",0,0,0,2,0,0.978781656399726
"mortality_rates","2017","juci",51.2877018112806,0,100,2,1,0.9637234770705
"mortality_rates","2018","juci",0,0,0,2,0,0.944558521560575
"mortality_rates","2019","juci",0,0,0,2,0,1.05407255304586
"mortality_rates","2020","juci",100,100,100,2,2,1.02532511978097
"mortality_rates","2021","juci",0,0,0,2,0,0.965092402464066
"mortality_rates","2022","juci",0,0,0,1,0,1.1772758384668
"mortality_rates","2013","juni",0,0,0,119,0,4.64392409941389
"mortality_rates","2014","juni",0,0,0,120,0,1.26881131644992
"mortality_rates","2015","juni",0,0,0,119,0,0.801246987501366
"mortality_rates","2016","juni",3.44063420203036,0.797183104098352,6.79674338378277,118,4,0.984976623858746
"mortality_rates","2017","juni",4.26395833010083,1.04961098823132,8.29520932297279,118,5,0.993607814475806
"mortality_rates","2018","juni",1.7773220308464,0,4.81754506070745,117,2,0.961453634964929
"mortality_rates","2019","juni",1.79369719344472,0,4.53070933677478,110,2,1.0137763673698
"mortality_rates","2020","juni",10.3292878119594,5.32459582544858,15.4067920461009,111,12,1.04938614178861
"mortality_rates","2021","juni",10.6680038961505,5.32380152734302,17.7945455727977,109,11,0.943001211938536
"mortality_rates","2022","juni",8.72743949220869,3.84010401083064,13.8129188995728,107,10,1.07444011591088
"mortality_rates","2013","libe",0,0,0,1,0,4.69541409993155
"mortality_rates","2014","libe",0,0,0,1,0,1.11156741957563
"mortality_rates","2015","libe",0,0,0,1,0,0.804928131416838
"mortality_rates","2016","libe",0,0,0,1,0,0.982888432580424
"mortality_rates","2013","litu",0,0,0,2217,0,4.72040177373707
"mortality_rates","2014","litu",0,0,0,2219,0,1.24569002877581
"mortality_rates","2015","litu",0,0,0,2202,0,0.790926797305169
"mortality_rates","2016","litu",0.552021884790999,0.278467991819329,0.850035104990762,2189,12,0.993049373555601
"mortality_rates","2017","litu",0.866660710814515,0.434393096255025,1.34739790788853,2165,19,1.01267599622518
"mortality_rates","2018","litu",0.544792005073402,0.213946174640594,0.888120341381164,2146,11,0.940723489190529
"mortality_rates","2019","litu",1.29468560617079,0.765740828102891,1.87450161000509,2123,29,1.05545630900186
"mortality_rates","2020","litu",3.13654308546611,2.28894653115151,4.13566384462376,2133,69,1.03187324251447
"mortality_rates","2021","litu",2.63287468641594,1.90197502149387,3.33453902865895,2108,52,0.936125473571558
"mortality_rates","2022","litu",4.07940285752972,3.04595531855738,5.21374115220262,2092,91,1.06780499487635
"mortality_rates","2013","nysy",0,0,0,495,0,4.74431377429324
"mortality_rates","2014","nysy",0,0,0,498,0,1.23828922809651
"mortality_rates","2015","nysy",0,0,0,490,0,0.791210940228247
"mortality_rates","2016","nysy",0.412745482264398,0,1.01234944889279,488,2,0.992936569383198
"mortality_rates","2017","nysy",1.40785245292147,0.41528255707596,2.72343988348349,481,7,1.03395134195956
"mortality_rates","2018","nysy",0.435921645681869,0,1.1342903368627,477,2,0.961760489713688
"mortality_rates","2019","nysy",1.21627692349575,0.354878823179407,2.25340562540408,472,6,1.04543556189747
"mortality_rates","2020","nysy",2.78080956144646,1.42065433321467,4.30502460210873,495,14,1.01731898035799
"mortality_rates","2021","nysy",4.30356843576595,2.42121294159208,6.3603998682878,486,19,0.906572250248575
"mortality_rates","2022","nysy",5.40041683738425,3.3152622109803,7.89260354649035,480,27,1.04281314168378
"mortality_rates","2013","pato",0,0,0,2,0,4.61601642710472
"mortality_rates","2014","pato",0,0,0,2,0,1.23066392881588
"mortality_rates","2015","pato",0,0,0,2,0,0.796714579055442
"mortality_rates","2016","pato",49.646547637531,49.646547637531,49.646547637531,2,1,1.01026694045175
"mortality_rates","2017","pato",0,0,0,2,0,1.02395619438741
"mortality_rates","2018","pato",0,0,0,2,0,0.945927446954141
"mortality_rates","2019","pato",0,0,0,2,0,1.05544147843943
"mortality_rates","2020","pato",0,0,0,2,0,1.02395619438741
"mortality_rates","2021","pato",0,0,0,2,0,0.969199178644764
"mortality_rates","2022","pato",47.5350166870179,0,100,2,1,1.07460643394935
"mortality_rates","2013","pipu",0,0,0,1,0,4.82956878850103
"mortality_rates","2014","pipu",0,0,0,1,0,1.15263518138261
"mortality_rates","2015","pipu",0,0,0,1,0,0.813141683778234
"mortality_rates","2016","pipu",0,0,0,1,0,0.980150581793292
"mortality_rates","2017","pipu",0,0,0,1,0,1.02121834360027
"mortality_rates","2018","pipu",100,100,100,1,1,1.02943189596167
"mortality_rates","2019","pipu",0,0,0,1,0,1.00205338809035
"mortality_rates","2020","pipu",0,0,0,1,0,1.06776180698152
"mortality_rates","2021","pipu",0,0,0,1,0,0.810403832991102
"mortality_rates","2022","pipu",100,100,100,1,1,1.08966461327858
"mortality_rates","2013","pist",0,0,0,86,0,4.77729493975137
"mortality_rates","2014","pist",0,0,0,86,0,1.20099326679719
"mortality_rates","2015","pist",0,0,0,85,0,0.796134798888755
"mortality_rates","2016","pist",25.3197614253748,6.35035867112812,34.2439291520461,84,21,0.985365535673544
"mortality_rates","2017","pist",16.1447048914279,8.14576840077715,27.2190231496478,84,14,1.03546168638571
"mortality_rates","2018","pist",1.19179751978472,0,1.97502449144598,83,1,1.01099263584111
"mortality_rates","2019","pist",2.38080620138709,0,11.69978154519,82,2,1.02475751656901
"mortality_rates","2020","pist",1.25507929668531,0,4.61438405474794,80,1,0.995927446954141
"mortality_rates","2021","pist",9.96053894989787,0,28.9176258309269,79,7,0.884291147904591
"mortality_rates","2022","pist",76.5296340357589,52.793876182975,87.8003355937154,75,57,0.984604152407027
"mortality_rates","2013","pivi",0,0,0,3,0,4.83869495779147
"mortality_rates","2014","pivi",0,0,0,3,0,1.14533424595026
"mortality_rates","2015","pivi",0,0,0,3,0,0.815879534565366
"mortality_rates","2016","pivi",33.6256925523868,0,50.2143575320571,3,1,0.989276751083733
"mortality_rates","2017","pivi",0,0,0,3,0,1.01026694045175
"mortality_rates","2018","pivi",65.5380249366382,48.9080781806028,100,3,2,1.03125712981976
"mortality_rates","2019","pivi",0,0,0,3,0,0.997490303445129
"mortality_rates","2020","pivi",0,0,0,3,0,0.958247775496235
"mortality_rates","2021","pivi",0,0,0,2,0,0.97056810403833
"mortality_rates","2022","pivi",65.6356135958953,49.7403396737399,100,3,2,1.02851927903263
"mortality_rates","2013","ploc",0,0,0,27,0,4.64613278576318
"mortality_rates","2014","ploc",0,0,0,27,0,1.24987958526631
"mortality_rates","2015","ploc",0,0,0,27,0,0.794179532030319
"mortality_rates","2016","ploc",3.74912116249715,0,11.3046948877447,27,1,0.987654320987654
"mortality_rates","2017","ploc",22.9616748854288,3.82526081227793,47.9600100163196,26,6,1.00573895645764
"mortality_rates","2018","ploc",0,0,0,26,0,0.972358237245301
"mortality_rates","2019","ploc",0,0,0,26,0,1.00637076817775
"mortality_rates","2020","ploc",14.4629036402138,0,37.5125693133789,27,4,1.02638983953152
"mortality_rates","2021","ploc",0,0,0,27,0,0.955814130352118
"mortality_rates","2022","ploc",0,0,0,27,0,1.08074124775015
"mortality_rates","2013","prav",0,0,0,48,0,4.70408396075747
"mortality_rates","2014","prav",0,0,0,48,0,1.23368697239334
"mortality_rates","2015","prav",0,0,0,46,0,0.794988542689641
"mortality_rates","2016","prav",0,0,0,44,0,0.995893223819302
"mortality_rates","2017","prav",9.53910119210659,2.34377362260099,18.0344782432231,41,4,1.02395619438741
"mortality_rates","2018","prav",0,0,0,40,0,0.96933607118412
"mortality_rates","2019","prav",5.20602912797758,0,11.6749173835524,38,2,1.01127562232069
"mortality_rates","2020","prav",2.45340740259187,0,8.17028132329076,40,1,1.0192334017796
"mortality_rates","2021","prav",7.96383329467133,0,16.3885558602226,40,3,0.939425051334702
"mortality_rates","2022","prav",12.226105931715,2.52445445571202,25.828120193112,39,5,1.0521069165833
"mortality_rates","2013","prse",0,0,0,11,0,4.60805177026943
"mortality_rates","2014","prse",0,0,0,11,0,1.31143052703628
"mortality_rates","2015","prse",0,0,0,11,0,0.805674817995147
"mortality_rates","2016","prse",0,0,0,11,0,0.978159417584469
"mortality_rates","2017","prse",0,0,0,11,0,0.974674880219028
"mortality_rates","2018","prse",0,0,0,11,0,0.9637234770705
"mortality_rates","2019","prse",8.89622261935212,0,32.3766818220456,11,1,1.02296061228299
"mortality_rates","2020","prse",0,0,0,11,0,1.01798270176094
"mortality_rates","2021","prse",9.05172119885506,0,26.379338679884,11,1,1.00454234335138
"mortality_rates","2022","prse",9.36650634006455,0,34.7448328256835,10,1,1.07132101300479
"mortality_rates","2013","qual",0,0,0,393,0,4.75540298829795
"mortality_rates","2014","qual",0,0,0,395,0,1.22336183817222
"mortality_rates","2015","qual",0,0,0,393,0,0.791022914696442
"mortality_rates","2016","qual",0.515754520902412,0,1.31704115263647,389,2,0.996859213589312
"mortality_rates","2017","qual",9.83960120933089,5.70532597558472,14.8077052703402,384,39,1.03396646132786
"mortality_rates","2018","qual",1.62427195885748,0.247962040790686,3.55395735474056,380,6,0.971872185597464
"mortality_rates","2019","qual",4.70102135268409,1.83484192304673,8.30060561047491,367,18,1.04441920449395
"mortality_rates","2020","qual",6.52836285877747,4.10198708353247,9.291705279997,365,24,1.00744657909295
"mortality_rates","2021","qual",14.0340100562641,10.5537374363075,18.1133837385209,359,46,0.90676245331259
"mortality_rates","2022","qual",9.0766448057864,5.55498077917944,13.3913425085088,352,33,1.03454203223197
"mortality_rates","2013","quco",0,0,0,1,0,4.78850102669405
"mortality_rates","2014","quco",0,0,0,1,0,1.20739219712526
"mortality_rates","2015","quco",0,0,0,1,0,0.793976728268309
"mortality_rates","2016","quco",0,0,0,1,0,0.988364134154689
"mortality_rates","2017","quco",0,0,0,1,0,1.03764544832307
"mortality_rates","2018","quco",0,0,0,1,0,1.01574264202601
"mortality_rates","2019","quco",0,0,0,1,0,1.02395619438741
"mortality_rates","2020","quco",0,0,0,1,0,0.991101984941821
"mortality_rates","2021","quco",100,100,100,1,1,0.862422997946612
"mortality_rates","2022","quco",0,0,0,1,0,0.97741273100616
"mortality_rates","2013","qufa",0,0,0,1,0,4.65434633812457
"mortality_rates","2014","qufa",0,0,0,1,0,1.23750855578371
"mortality_rates","2015","qufa",0,0,0,1,0,0.785763175906913
"mortality_rates","2016","qufa",0,0,0,1,0,0.969199178644764
"mortality_rates","2017","qufa",0,0,0,1,0,1.06228610540726
