"sp","death_year","tag","StemTag","last_main_census_dbh","hom","quadrat","gy","gx","ly","lx","percent_of_crown_intact","fad"
"qual",2025,182694,1,178,"1.3","1830",598.9,359,18.9,19,2,""
"qual",2025,82054,1,116,"1.3","0818",346.1,147.9,6.10000000000002,7.90000000000001,1,"U"
"qupr",2026,90615,1,514,"1.3","0910",192.8,164.8,12.8,4.80000000000001,3,"B,I"
"qupr",2025,80402,1,422,"1.3","0807",136.6,147.4,16.6,7.40000000000001,4,"B,F"
"qupr",2025,22538,1,290,"1.3","0230",582.6,22.9,2.60000000000002,2.9,2,"U,F,W,R"
"qupr",2025,111173,1,225,"1.3","1111",200.9,202.5,0.900000000000006,2.5,4,"F,W"
"qupr",2025,202028,1,163,"1.3","2018",358.9,398.4,18.9,18.4,4,"F"
"qupr",2025,20792,1,144,"1.3","0215",280.4,23,0.399999999999977,3,4,"F,B,D"
"qupr",2025,180785,1,124,"1.3","1810",185.5,355.4,5.5,15.4,2,""
"qupr",2025,182068,1,118,"1.3","1820",388,352.5,8,12.5,4,"U"
"quru",2026,70573,1,589,"1.4","0713",255.4,133.8,15.4,13.8,5,"I"
"quru",2026,160940,1,571,"1.3","1609",171.6,311.6,11.6,11.6,5,"B,U"
"quru",2026,82123,1,316,"1.3","0819",375,145,15,5,NA,""
"quru",2026,151096,1,220,"1.3","1515",288.4,290.9,8.39999999999998,10.9,3,"B,U"
"quru",2025,30098,1,619,"1.3","0304",75.6,46.5,15.6,6.5,3,"B,F"
"quru",2025,161576,1,605,"1.3","1616",310.3,304.2,10.3,4.19999999999999,4,"U"
"quru",2025,122158,1,434,"1.3","1221",410.1,230.3,10.1,10.3,5,""
"quru",2025,121329,1,432,"1.3","1213",254.5,221.2,14.5,1.19999999999999,3,"B,F"
"quru",2025,82119,1,185,"1.3","0819",372.4,145.4,12.4,5.40000000000001,5,""
"quru",2025,192390,1,183,"1.3","1925",496.5,365.5,16.5,5.5,2,""
"quru",2025,152520,1,132,"1.3","1525",499.9,293.5,19.9,13.5,1,""
"quru",2025,172583,1,131,"1.3","1731",607.3,324,7.29999999999995,4,2,""
"quru",2025,192240,1,129,"1.3","1919",380,367.4,0,7.39999999999998,4,"U"
"quve",2026,82326,1,870,"1.3","0827",528.3,154.6,8.29999999999995,14.6,5,"U"
"quve",2026,131009,1,806,"1.3","1308",140.7,253.9,0.699999999999989,13.9,5,"U"
"quve",2026,80015,1,575,"1.3","0802",29.9,141.5,9.9,1.5,5,"F"
"quve",2026,60427,1,463,"1.3","0612",226.8,100.3,6.80000000000001,0.299999999999997,5,"I,K"
"quve",2026,72083,1,128,"1.3","0718",348.5,135.1,8.5,15.1,5,"K"
"quve",2025,122289,1,747,"1.3","1224",467.1,238.9,7.10000000000002,18.9,3,""
"quve",2025,50272,1,654,"1.3","0504",79.3,85.9,19.3,5.90000000000001,3,"B,K"
"quve",2025,70030,1,516,"1.3","0702",32,125.3,12,5.3,4,""
"quve",2025,62007,1,485,"1.3","0617",328.4,101.2,8.39999999999998,1.2,4,""
"quve",2025,112167,1,470,"1.3","1120",396.8,205.2,16.8,5.19999999999999,4,""
"quve",2025,160791,1,440,"1.3","1609",177.3,309.8,17.3,9.80000000000001,5,""
"quve",2025,121277,1,431,"1.3","1209",179.7,225.4,19.7,5.40000000000001,4,"B,W,R"
"quve",2025,160772,1,416,"1.3","1607",135.8,318.8,15.8,18.8,3,""
