"Tag","StemTag","Quad","Species","QX","QY","DBH","Status 2022","Tag maintenance"
"80763","1","0814","litu","3.5","11.8","221","A","RT"
"180674","1","1806","litu","6.8","16.1","611","A","RT"
"200567","1","2006","litu","4.8","15.7","790","A","RT"
"151158","1","1513","fram","12.4","9.8","78","DS","RT"
"122561","1","1231","litu","0","10.5","687","A","RT"
"131298","1","1315","quru","14","13.1","234","DS","RT"
"131325","1","1315","caco","1.8","9.9","417","A","RT"
"131337","1","1315","caco","0.4","19.9","450","A","RT"
"152069","1","1518","qupr","19.7","15.5","640","A","RT"
"101227","1","1014","quru","16.7","2.9","515","A","RT"
"150805","1","1507","litu","14.3","2","740","A","RT"
"200108","1","2001","juni","16.6","17","171","A","RT"
"200135","1","2001","juni","18.1","14.8","351","A","RT"
"50507","1","0510","nysy","2","12.6","104","A","RT"
"182151","1","1821","litu","6.6","17.2","539","A","RT"
"120162","1","1202","quve","7.2","8.4","579","A","RT"
"120454","1","1202","litu","19","18.5","568","AU","RT"
"120069","1","1201","litu","16.4","14.8","595","A","RT"
"142281","1","1420","litu","10.4","19.3","666","A","RT"
"112309","1","1124","qual","13.5","11.8","520","A","RT"
"142612","1","1428","qual","15.2","2.1","633","A","RT"
"82237","1","0823","litu","8.2","12.2","830","A","RT"
"10530","1","0108","quve","4","2.1","467","A","RT"
"10543","1","0108","quru","7.9","15.4","330","A","RT"
"72170","1","0720","litu","10.8","17.2","494","A","RT"
"142520","1","1422","quru","11.5","9.6","445","A","RT"
"10163","1","0103","litu","15.4","17.2","673","A","RT"
"151072","1","1514","prav","5.6","9.9","361","AU","RT"
"151082","1","1514","litu","17","16.2","794","A","RT"
"72324","1","0726","litu","14.4","6.6","690","A","RT"
"72330","1","0726","litu","10.7","16.2","460","A","RT"
"12195","1","0123","tiam","4","1.7","692","AU","RT"
"12197","1","0123","quve","4.2","2.6","232","A","RT"
"12203","1","0123","tiam","7.1","9.6","211","A","RT"
"12211","2","0123","caca","0","9.1","170","A","RT"
"12213","1","0123","caca","10.6","6.8","154","AU","RT"
"12222","1","0123","caca","10.1","13.2","161","AU","RT"
"151618","1","1516","ulru","8.6","1.8","151","AU","RT"
"151663","1","1516","ploc","5.8","5.8","521","A","RT"
"151666","1","1516","caovl","7","14.2","146","AU","RT"
"131362","1","1316","acru","12.1","13.6","155","AU","RT"
"151190","1","1515","quru","16.7","17.8","183","A","RT"
"72337","1","0727","quru","7.9","2.6","934","AU","RT"
"22178","1","0222","tiam","6.3","2.5","335","A","RT"
"22186","1","0222","tiam","17","7.5","370","A","RT"
"22198","2","0222","tiam","16.1","10.9","160","AU","RT"
"22207","1","0222","fram","10.8","14.5","345","DC","RT"
"22214","1","0222","acru","6.4","0","439","A","RT"
"12242","1","0124","tiam","17.8","12.8","213","A","RT"
"12245","1","0124","tiam","0","14","272","A","RT"
"72189","1","0721","litu","19.8","6","394","A","RT"
"72198","1","0721","litu","12.6","3.5","708","A","RT"
"72003","1","0717","fagr","5.4","1","108","A","RT"
"72024","1","0717","quve","0","9.6","511","A","RT"
"72027","1","0717","fagr","14.4","8","110","AU","RT"
"72028","1","0717","qupr","13.6","6.6","378","A","RT"
"72039","1","0717","quru","19.2","0","224","AU","RT"
"72041","1","0717","cato","14.3","18","168","A","RT"
"171450","1","1714","vipr","5.6","9","100","A","RT"
"22302","1","0225","litu","4.2","7.5","379","A","RT"
"22313","1","0225","litu","19.3","8.9","284","A","RT"
"122437","1","1228","litu","18.9","13.4","428","A","RT"
"122478","1","1228","prav","9.6","7.3","193","A","RT"
"122482","1","1228","litu","14.5","2.4","580","A","RT"
"32498","1","0331","quve","16","5.8","615","A","RT"
"192113","1","1922","litu","5.9","6.9","412","A","RT"
"192114","1","1922","litu","6.1","8.4","667","A","RT"
"192121","1","1922","litu","12.7","10.8","380","AU","RT"
"152634","1","1529","juni","14.4","4.1","697","A","RT"
"142601","1","1427","qual","11.3","7","635","A","RT"
"142192","1","1419","cagl","3.1","11.1","419","A","RT"
"110797","1","1104","fagr","13.1","18","241","A","RT"
"70662","1","0716","litu","3.1","15","435","A","RT"
"202004","1","2017","quru","15.4","2.7","454","A","RT"
"202203","1","2017","quru","9.2","1.4","505","A","RT"
"92016","1","0917","quru","3.2","3.4","680","AU","RT"
"92029","2","0917","quru","11.5","14","520","DS","RT"
"130785","1","1309","litu","4.7","3","759","A","RT"
"131044","1","1309","litu","17.9","0.8","625","A","RT"
"201156","1","2011","cato","7.3","4.2","192","A","RT"
"201200","1","2011","caco","10.3","7.1","739","A","RT"
"192008","1","1917","qual","12","2","672","AU","RT"
"192011","1","1917","qual","0","18.8","614","AU","RT"
"192206","1","1917","litu","5.2","7.8","478","A","RT"
"192209","1","1917","quve","0.7","10.9","350","AU","RT"
"192213","1","1917","pist","8.4","17.6","543","AU","RT"
"171306","1","1712","fagr","11","11.3","290","A","RT"
"182385","1","1824","caco","11.5","5.6","170","A","RT"
"182395","1","1824","caco","11.8","15.1","151","A","RT"
"182580","1","1824","ceca","18.1","0.4","169","AU","RT"
"12310","1","0126","fagr","15","7.2","258","AU","RT"
"202545","1","2029","litu","4.5","2.6","364","DS","RT"
"202555","1","2029","litu","3.9","18.8","773","A","RT"
"132204","1","1320","cato","6.6","12.6","139","AU","RT"
"180506","1","1803","ulru","5.4","13.9","259","DC","RT"
"180508","1","1803","juni","5.2","15","437","A","RT"
"202183","1","2025","litu","14.2","2.6","614","A","RT"
"202646","1","2025","ulru","15.4","19.7","137","A","RT"
"202686","1","2025","ulru","7.2","16.2","102","A","RT"
"62066","1","0618","qual","18","11.6","557","A","RT"
"172449","1","1727","quru","15.2","16.7","660","A","RT"
"100070","1","1001","litu","0","11.8","582","A","RT"
"170695","1","1703","fram","9.8","10.8","276","AU","RT"
"171087","1","1703","litu","1.7","11.9","636","A","RT"
"10280","1","0106","nysy","19.7","12.3","256","A","RT"
"10284","1","0106","ceca","15.7","3.2","175","AU","RT"
"10287","1","0106","caca","13.9","12.9","190","A","RT"
"10424","1","0106","caco","0.6","17","464","AU","RT"
"10427","1","0106","juni","1.5","12.8","305","A","RT"
"92424","1","0926","litu","10.8","10.4","357","A","RT"
"92427","1","0926","litu","17.3","15","151","A","RT"
"92435","1","0926","nysy","13.4","18","176","A","RT"
"92438","1","0926","litu","4.1","13.5","308","A","RT"
"12427","1","0130","litu","9.2","2.7","404","A","RT"
"12431","1","0130","litu","6.4","7.1","534","A","RT"
"12437","1","0130","litu","16.8","0","436","A","RT"
"12460","1","0130","quru","13.4","15.9","461","A","RT"
"12472","1","0130","litu","4.5","17.7","544","A","RT"
"12474","1","0130","litu","2.5","16.7","198","A","RT"
"132002","1","1317","caco","3.6","2.4","424","A","RT"
"132025","1","1317","caco","13","8.8","268","A","RT"
"60462","1","0615","fagr","5.6","7.6","238","A","RT"
"60585","1","0615","caca","18.1","12","154","AU","RT"
"60590","1","0615","litu","12.5","17.6","634","A","RT"
"152483","1","1524","qupr","0.5","9.1","378","AU","RT"
"180790","1","1811","litu","14.9","1.4","763","A","RT"
"180794","1","1811","litu","17.8","6.3","473","A","RT"
"70008","1","0701","quve","8.7","11.3","651","A","RT"
"161504","1","1615","fram","0","5","220","DS","RT"
"70110","1","0705","litu","3.4","3.4","500","A","RT"
"70126","1","0705","quru","9.3","12.5","852","A","RT"
"132412","1","1326","litu","4.4","8.9","175","A","RT"
"112170","1","1121","pist","4.4","1.8","351","AU","RT"
"112180","1","1121","pist","10.1","8.3","215","AU","RT"
"112188","1","1121","quve","13.4","13","525","A","RT"
"22257","1","0224","tiam","1.9","4.3","275","A","RT"
"22274","1","0224","litu","11.3","2.9","718","A","RT"
"22293","1","0224","tiam","2.8","13.8","144","A","RT"
"90634","1","0911","quve","3.6","17.6","438","A","RT"
"101215","1","1013","quve","19","13.5","792","AU","RT"
"13105","1","0105","juni","5.8","8.3","120","A","RT"
"162583","1","1629","litu","11.5","6.2","543","A","RT"
"162593","1","1629","litu","19.9","13.9","691","A","RT"
"162595","1","1629","litu","1.3","15.6","588","A","RT"
"202299","1","2020","litu","5.7","16.9","380","A","RT"
"122121","1","1220","pist","1.6","2.3","292","AU","RT"
"122140","1","1220","qual","1.5","9.9","504","A","RT"
"91351","1","0908","litu","0.4","1.8","244","A","RT"
"91468","1","0908","litu","10.3","1.8","379","A","RT"
"12032","1","0118","fagr","8.8","8.6","217","A","RT"
"202162","1","2024","litu","13.4","17.2","317","AU","RT"
"160667","1","1604","litu","6.5","16.7","593","A","RT"
"160719","1","1604","ulru","19.8","0.5","141","A","RT"
"22061","1","0218","fagr","11.6","4.9","136","AU","RT"
"22063","1","0218","litu","14.4","10.5","658","A","RT"
"22064","1","0218","qupr","18.4","17.7","711","AU","RT"
"22066","1","0218","fagr","12.5","15.4","125","A","RT"
"22070","1","0218","cato","2.3","11.4","718","A","RT"
"22121","1","0220","nysy","16.5","3.9","164","A","RT"
"22127","1","0220","cagl","13.6","4.4","390","A","RT"
"22129","1","0220","cato","9.9","4.3","270","DC","RT"
"22138","1","0220","quve","1","0","555","A","RT"
"202529","1","2028","saal","2.8","1.2","242","A","RT"
"202538","1","2028","quru","11.6","14.1","266","A","RT"
"202788","1","2028","caco","9.4","3.6","163","A","RT"
"202791","1","2028","quru","19.2","9.7","370","A","RT"
"202902","1","2028","quru","19.8","18.2","130","A","RT"
"190814","1","1915","acru","11.5","3.6","103","AU","RT"
"190826","1","1915","quru","11.5","15","309","DS","RT"
"190827","1","1915","litu","10.3","14.5","664","AU","RT"
"190912","1","1915","litu","1","9.1","554","A","RT"
"190922","1","1915","litu","7","17.5","543","AU","RT"
"62328","1","0626","litu","3.3","14.8","297","A","RT"
"12089","1","0120","caovl","5.4","1.5","145","A","RT"
"12103","1","0120","caco","19.5","11.1","263","A","RT"
"12110","1","0120","cato","11","17.5","154","A","RT"
"12114","1","0120","caca","7.7","14.4","124","A","RT"
"12118","1","0120","litu","0.6","13.4","704","A","RT"
"22629","1","0232","litu","16.8","6.7","715","A","RT"
"22630","1","0232","litu","10.9","10","420","A","RT"
"22647","1","0232","litu","9.6","19.1","536","A","RT"
"182695","1","1830","fagr","17.5","18.8","219","A","RT"
"122490","1","1229","quru","8.9","4.2","470","DS","RT"
"72215","1","0722","litu","3.3","1.5","504","A","RT"
"72220","1","0722","litu","14.4","1.4","458","A","RT"
"200189","1","2002","litu","11","14.3","572","A","RT"
"200198","1","2002","litu","18.5","18.7","635","A","RT"
"92464","1","0927","litu","8","18.2","596","A","RT"
"132285","1","1325","fram","0.5","1.8","94","DC","RT"
"132371","1","1325","quru","19.9","12.9","745","A","RT"
"70589","1","0714","litu","18.9","11.6","339","A","RT"
"70595","1","0714","litu","18.2","16.7","254","A","RT"
"52151","1","0521","quru","0","3.6","672","A","RT"
"172158","1","1723","caovl","8.7","10.5","148","AU","RT"
"172371","1","1723","ceca","10.7","5.3","161","AU","RT"
"172377","1","1723","ceca","17.9","9.5","116","A","RT"
"12490","1","0131","litu","19.1","2.3","342","A","RT"
"101176","1","1015","litu","4.6","3.4","488","A","RT"
"101259","1","1015","fram","12.4","17.6",NA,"DS","RT"
"12001","1","0117","litu","0.7","0.9","593","A","RT"
"162402","1","1624","quru","12","7.7","240","A","RT"
"201338","1","2016","quve","18.9","2.7","634","A","RT"
"201437","1","2016","litu","11.4","15.1","461","A","RT"
"22545","1","0230","litu","17.2","6.9","650","A","RT"
"22564","1","0230","litu","5.4","12.8","741","A","RT"
"22565","1","0230","litu","7.5","12.6","667","A","RT"
"22571","1","0230","litu","1","0","658","A","RT"
"182668","1","1828","litu","12.9","1.6","314","A","RT"
"182671","2","1828","quru","13","10.6","642","A","RT"
"32092","1","0320","caca","4","4.2","107","A","RT"
"150566","1","1504","litu","12.2","2.9","708","A","RT"
"150778","1","1504","litu","10.1","12.2","766","A","RT"
"200389","1","2003","litu","8.7","18.2","386","A","RT"
"122550","1","1230","litu","0.9","0.6","705","A","RT"
"50499","1","0511","quru","7.7","12","664","A","RT"
"122570","1","1232","fagr","4.2","9.5","145","A","RT"
"161012","1","1613","caco","11","17.3","112","A","RT"
"152521","1","1526","caovl","0.7","3.2","538","A","RT"
"12354","1","0128","juni","3.2","6.5","580","A","RT"
"12370","1","0128","litu","18.9","19.4","300","A","RT"
"72106","1","0719","fagr","6.2","2.4","479","A","RT"
"72116","1","0719","litu","14.4","10.8","501","A","RT"
"190574","1","1913","juni","5.4","8.6","488","A","RT"
"190777","1","1913","litu","14.5","0.4","614","A","RT"
"190779","1","1913","litu","13.4","5","523","A","RT"
"52046","1","0518","litu","16.1","10.6","309","A","RT"
"52047","1","0518","litu","18.2","11.5","298","A","RT"
"52049","1","0518","fagr","18.7","16.9","314","A","RT"
"192254","1","1920","qupr","5.2","13","341","A","RT"
"180808","1","1812","fram","11","2.7","150","AU","RT"
"180818","1","1812","tiam","14","16.3","521","A","RT"
"180973","1","1812","caco","2.2","15.4","278","A","RT"
"22485","1","0229","litu","1.6","2.9","165","A","RT"
"22491","1","0229","litu","16.3","5.3","792","A","RT"
"22514","1","0229","litu","10.9","16.4","515","A","RT"
"22515","1","0229","litu","11.8","16.1","452","A","RT"
"22522","1","0229","litu","8.8","18","598","A","RT"
"190353","1","1903","ploc","2.2","17.3","148","A","RT"
"190394","1","1903","fram","18.8","13.5","192","A","RT"
"140847","1","1412","litu","0.3","0.6","648","A","RT"
"141037","1","1412","litu","19","12.4","545","A","RT"
"170037","1","1701","juni","1","10","457","DC","RT"
"131221","1","1313","caovl","15.9","3.9","245","DC","RT"
"162417","1","1625","quru","15.2","9.1","323","DS","RT"
"162511","1","1625","quru","7.3","9.1","231","A","RT"
"142640","1","1429","litu","8.6","17","643","A","RT"
"202260","1","2019","quru","4.2","4.4","384","A","RT"
"200613","1","2004","litu","10.1","16.2","880","AU","RT"
"90751","1","0916","litu","13.9","5.3","385","A","RT"
"90752","1","0916","qual","12.4","7.4","535","A","RT"
"62297","1","0625","litu","16.8","10.8","624","A","RT"
"62303","1","0625","quve","2.9","10.3","681","AU","RT"
"180832","1","1814","fram","14.6","3.6","421","DS","RT"
"180842","1","1814","caco","12.4","16.5","283","A","RT"
"180992","1","1814","quru","3.6","7.8","336","A","RT"
"180999","1","1814","qual","4.3","18","597","A","RT"
"102492","1","1031","litu","12.2","6","679","A","RT"
"112250","1","1122","pist","10.8","18.4","431","AU","RT"
"22336","1","0226","quru","3.9","7.5","829","A","RT"
"172325","1","1721","fram","19","11.9","799","DS","RT"
"172326","1","1721","acne","19.1","16.3","161","AU","RT"
"12121","1","0121","cagl","7.8","10.3","196","A","RT"
"12123","1","0121","tiam","2.6","8.1","192","A","RT"
"92074","1","0918","quru","7.8","10.1","305","A","RT"
"111041","1","1108","quru","16.5","5.7","1033","A","RT"
"111059","1","1108","litu","10.6","19.2","773","A","RT"
"111338","1","1116","caca","7.6","7.1","107","AU","RT"
"72280","1","0724","litu","11.9","5.4","570","A","RT"
"80491","1","0809","quru","5.2","17.7","1480","A","RT"
"171000","1","1705","rops","16.8","0.6","460","AU","RT"
"150600","1","1506","litu","14","11.9","806","A","RT"
"201279","1","2014","quru","1.9","13","475","A","RT"
"201303","1","2014","acpl","14.1","6.4","207","A","RT"
"70371","1","0708","qual","17.3","13.6","620","A","RT"
"12058","1","0119","litu","0.9","0.5","721","A","RT"
"200676","1","2008","litu","12.2","6.9","893","A","RT"
"182050","1","1819","quru","14.5","4.1","622","A","RT"
"182054","1","1819","quru","8.4","14","325","A","RT"
"180235","1","1802","litu","11","4.6","1024","A","RT"
"182406","1","1825","litu","9.2","9.2","500","A","RT"
"182627","1","1825","ceca","12","7.6","146","AU","RT"
"12581","1","0132","litu","18.9","7","629","A","RT"
"12644","1","0132","quru","6.2","10.3","258","A","RT"
"12672","1","0132","litu","0","17.6","166","A","RT"
"190597","1","1914","quru","4.2","11.2","573","A","RT"
"190794","1","1914","quru","10.6","1.4","667","A","RT"
"190809","1","1914","litu","0","19.1","263","A","RT"
"192128","1","1923","litu","19.2","11.6","195","A","RT"
"192132","1","1923","litu","14.5","8.9","258","A","RT"
"192141","1","1923","qupr","16.7","0","558","AU","RT"
"150981","1","1509","litu","2.5","19.3","307","A","RT"
"192595","1","1932","litu","13.9","15.9","331","AU","RT"
"192700","1","1932","ulru","3.7","1.4","273","AU","RT"
"192718","1","1932","litu","1.5","18.3","759","A","RT"
"141144","1","1416","cagl","7","17.9","390","A","RT"
"102322","1","1024","litu","12.3","16.2","562","A","RT"
"172343","1","1722","vipr","15.2","0.6","126","A","RT"
"172367","1","1722","litu","11.6","15.3","331","A","RT"
"192525","1","1928","litu","12.5","3.2","545","A","RT"
"150048","1","1501","juni","9.8","5.7","490","A","RT"
"150306","1","1501","litu","0.3","13.7","909","A","RT"
"130165","1","1302","litu","1.1","7.6","706","A","RT"
"130179","1","1302","litu","17.3","16","676","A","RT"
"22244","1","0223","ulam","14.5","15","125","A","RT"
"22247","1","0223","acru","9.1","15.7","300","A","RT"
"72383","1","0729","nysy","5","1","156","AU","RT"
"171336","1","1713","ulru","19.9","8.7","102","A","RT"
"12169","1","0122","tiam","10.9","3.9","233","A","RT"
"12173","1","0122","litu","18.7","11.2","630","A","RT"
"12178","1","0122","tiam","15.2","15.5","380","A","RT"
"122230","1","1221","qual","13.4","17.7","667","AU","RT"
"182033","1","1818","quru","0","10","322","A","RT"
"182038","1","1818","litu","4.5","16.9","690","A","RT"
"182483","1","1831","fagr","2.2","1.6","193","A","RT"
"182494","1","1831","ulru","9.2","7","194","A","RT"
"82173","1","0821","cagl","12","9","375","A","RT"
"172404","1","1725","quru","7.5","5.8","222","A","RT"
"172413","1","1725","quru","9.7","14.4","312","A","RT"
"52443","1","0532","litu","2.7","5.7","581","A","RT"
"52451","1","0532","litu","11.6","12.5","495","A","RT"
"52295","1","0526","qual","0","5.5","565","A","RT"
"160698","1","1606","litu","0.6","2.9","683","A","RT"
"10581","1","0113","quru","16.3","6.4","835","AU","RT"
"52071","1","0519","litu","1.4","8.1","133","A","RT"
"121463","1","1216","caco","16.1","11.4","226","A","RT"
"121468","1","1216","ploc","19.2","19.2","223","A","RT"
"142363","1","1424","qual","5.2","18.7","511","A","RT"
"80009","1","0801","cagl","6","18.4","210","A","RT"
"80109","1","0801","cagl","14.4","11.5","197","A","RT"
"80118","1","0801","caco","7.5","8.3","230","A","RT"
"70606","1","0715","litu","10.6","8.5","482","A","RT"
"70655","1","0715","acru","7.5","17.1","140","A","RT"
"192024","1","1918","nysy","14.3","6.2","192","A","RT"
"192218","1","1918","litu","4.9","2.8","319","A","RT"
"192219","1","1918","quru","5.2","0.7","347","A","RT"
"82138","1","0820","quru","1.1","2.7","674","A","RT"
"82146","1","0820","litu","11.9","15.7","678","A","RT"
"82158","1","0820","qual","0.6","16.3","657","DS","RT"
"90136","1","0903","litu","6.1","17.7","304","A","RT"
"111207","1","1112","quru","14.4","3.3","763","A","RT"
"111217","1","1112","quru","12.9","16.9","770","A","RT"
"192374","1","1925","caco","1.9","9.1","187","A","RT"
"121322","1","1213","quve","1.7","9.2","549","AU","RT"
"102150","1","1020","qual","4.3","2.1","495","A","RT"
"22018","1","0217","fagr","11.3","9.8","155","A","RT"
"22026","1","0217","quru","19.6","11.6","742","AU","RT"
"22041","1","0217","litu","1.8","19","850","AU","RT"
"22416","1","0228","litu","2.5","6.2","321","A","RT"
"22434","1","0228","cato","12.5","7.2","194","A","RT"
"22452","1","0228","litu","3.9","11.7","516","A","RT"
"22465","1","0228","litu","0.3","15.5","424","A","RT"
"160693","1","1605","litu","10.3","16.6","687","AU","RT"
"82341","1","0828","litu","8.6","1.1","286","A","RT"
"82353","1","0828","qual","19.7","11.5","680","AU","RT"
"142380","1","1425","qual","6.8","13.1","591","A","RT"
"130778","1","1308","litu","9.7","11.9","585","A","RT"
"182413","1","1826","quru","7.3","5.1","317","A","RT"
"182421","1","1826","cato","3.2","16.2","394","A","RT"
"70407","1","0709","quru","6.1","5.4","747","A","RT"
"70421","1","0709","quru","8.8","19.5","750","A","RT"
"62247","1","0623","cato","18.2","11","589","A","RT"
"62248","1","0623","litu","0","18.6","242","A","RT"
"190082","1","1902","litu","9.7","13.7","531","A","RT"
"190090","1","1902","litu","18.6","15.4","613","A","RT"
"90010","1","0901","caco","1.3","15.3","206","A","RT"
"90012","1","0901","acru","7.1","14.6","176","A","RT"
"10436","1","0107","fagr","10.3","8.2","593","A","RT"
"10445","1","0107","acru","17.5","19.9","226","A","RT"
"10517","1","0107","quve","4.5","0.6","222","AU","RT"
"20799","1","0215","litu","11.6","0.4","676","AU","RT"
"20811","1","0215","caco","11","15.4","387","AU","RT"
"30483","1","0314","fagr","15.6","15.5","228","A","RT"
"200858","1","2009","litu","5.2","2.7","730","A","RT"
"82402","1","0830","litu","9.4","15.3","702","A","RT"
"130120","1","1301","litu","6","16.8","522","A","RT"
"50612","1","0512","acru","12.6","11.1","101","A","RT"
"161524","1","1616","quru","19.8","1.8","418","A","RT"
"161572","1","1616","caco","7.4","5.6","405","A","RT"
"152588","1","1527","pist","17.4","15.3","321","AU","RT"
"162566","1","1628","quve","3.6","11.5","544","A","RT"
"162570","1","1628","fram","6.5","19.6","169","DC","RT"
"152215","1","1520","juni","17.5","19.3","489","A","RT"
"140344","1","1402","litu","4.3","17.6","398","A","RT"
"202129","1","2023","litu","13.9","19.4","388","A","RT"
"202130","1","2023","qupr","18.8","16.3","468","A","RT"
"202337","1","2023","cagl","1","0.2","443","A","RT"
"140069","1","1401","litu","15.2","17.2","734","A","RT"
"132466","1","1331","litu","1","18.3","766","A","RT"
"72071","1","0718","quru","7","6.7","278","A","RT"
"72072","1","0718","quve","5.4","9.5","666","AU","RT"
"72098","1","0718","litu","13.5","17.4","430","A","RT"
"100168","1","1002","quve","17.5","7.2","574","AU","RT"
"102107","1","1018","cato","13.9","13.3","436","A","RT"
"202963","1","2032","ulru","18.3","13.9","246","AU","RT"
"82094","1","0819","quru","7.3","3.2","453","AU","RT"
"82076","1","0818","qual","15.3","12.9","457","A","RT"
"80329","1","0806","cagl","18.4","15","393","A","RT"
"130393","1","1303","litu","14.8","11","772","A","RT"
"90683","1","0915","litu","9.1","1.6","585","A","RT"
"90702","1","0915","litu","14.5","7.6","416","A","RT"
"172577","1","1731","quru","3.4","0.5","768","A","RT"
"172614","1","1731","ceca","12.7","5.3","137","AU","RT"
"170801","1","1702","aial","18.4","11.1","231","A","RT"
"50571","1","0515","caca","10.8","6.3","122","AU","RT"
"50573","1","0515","fagr","6.4","11.5","167","A","RT"
"53152","1","0515","pato","4.8","9","117","A","RT"
"12274","1","0125","fram","11.1","19","382","DS","RT"
"172436","1","1726","cagl","18.6","14.8","144","A","RT"
"172437","1","1726","caovl","17.8","19.4","147","A","RT"
"140701","1","1406","litu","7.1","12.8","785","A","RT"
"62452","1","0632","qual","15.5","13.1","785","A","RT"
"62457","1","0632","nysy","7.5","11.7","146","A","RT"
"70169","1","0707","quru","1.1","6","597","A","RT"
